Appts_Pending_1412,%_Appts_Over_30_Pending_1412,PC_Wait_Pending_1412,SC_Wait_Pending_1412,MH_Wait_Pending_1412,for_dups,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,ID,Appts_Pending_1610,%_Appts_Over_30_Pending_1610,PC_Wait_Pending_1610,SC_Wait_Pending_1610,MH_Wait_Pending_1610,Appts_Complete_1608,%_Appts_Over_30_Complete_1608,PC_Wait_Complete_1608,SC_Wait_Complete_1608,MH_Wait_Complete_1608,Station,Location,Choice_Hires,Interim,Vacancy,%_Appts_Over_30_Complete_1409,Appts_Complete_1409,MH_Wait_Complete_1409,PC_Wait_Complete_1409,SC_Wait_Complete_1409,Physician_Turnover_FY11,Physician_Turnover_FY12,Physician_Turnover_FY13,Physician_Turnover_FY14,Physician_Turnover_FY15,NbrPsychiatrists,Name,State,Geo,Confidence,County,"County, St",Projected_Increase_5_years,Projected_Increase_10_years,Projected_Increase_20_years,Projected_Increase_30_years,9/30/43,9/30/33,9/30/23,9/30/18,Pending_Increase,Pending_Increase_%,Complete_Increase,Complete_Increase_%,Complete_Pending_Appts_Diff_14,Complete_Pending_Appts_Diff_16,Complete_Pending_Appts_Diff_14_%,Complete_Pending_Appts_Diff_16_%,Complete_Pending_Gap_Increase_%,Missing_Leadership,Staff_11_To_12_Increase,Staff_11_To_12_Increase_%,Staff_12_To_13_Increase,Staff_12_To_13_Increase_%,Staff_13_To_14_Increase,Staff_13_To_14_Increase_%,Staff_14_To_15_Increase,Staff_14_To_15_Increase_%,Staff_15_To_16_Increase,Staff_15_To_16_Increase_%,Staff_14_To_16_Increase,Staff_14_To_16_Increase_%,Choice_Increase_%,Choice_Staff_Dif,Choice_Increase_%_PC_Wait_Complete_1409_Ratio,Choice_Increase_%_PC_Wait_Pending_1412_Ratio,PC_Wait_Pending_Increase,PC_Wait_Pending_Increase_%,PC_Wait_Complete_Increase,PC_Wait_Complete_Increase_%,SC_Wait_Pending_Increase,SC_Wait_Pending_Increase_%,SC_Wait_Complete_Increase,SC_Wait_Complete_Increase_%,MH_Wait_Pending_Increase,MH_Wait_Pending_Increase_%,MH_Wait_Complete_Increase,MH_Wait_Complete_Increase_%,Staff_To_Appts_Pending_14,Staff_To_Appts_Pending_16,Staff_To_Appts_Complete_14,Staff_To_Appts_Complete_16,Percentage_Point_Wait_Over_30_Increase_Pending,Percentage_Point_Wait_Over_30_Increase_Complete,qualitative_size,State_Full,Vet_Pop_State_9_30_14,Vet_Pop_State_9_30_34,Vet_Pop_State_Increase_20
42899,2.7,2.51,4.07,2.77,402,(V01) (402) HCS TOGUS ME,1293.0,1272.0,1248.0,1283.0,1335.0,1446.0,402to,43609,4.18,7.82,5.67,3.62,28683,1.34,4.96,2.73,1.87,402,"(V01) (402) Togus, ME",47.0,0.0,1.0,1.67,24458,1.43,2.72,3.34,9.97,9.55,11.33,14.74,7.81,4.0,"TOGUS, ME",ME,"<[OK] Google - Geocode [Togus, Chelsea, ME 04330, USA]>",9,KENNEBEC,"KENNEBEC, ME",-841.0,-1630.0,-3149.0,-4642.0,7723.0,9216.0,10735.0,11524.0,710,1.65505023427,4225,17.2745114073,18441,14926,75.3986425709,52.0377924206,-19.0607884605,1.0,-21.0,-1.65094339623,-24.0,-1.92307692308,35.0,2.72798129384,52.0,3.89513108614,111.0,7.67634854772,163.0,11.2724757953,3.66328916602,116.0,0.74250212766,0.685176595745,5.31,211.553784861,2.24,82.3529411765,1.6,63.7450199203,-0.61,-18.2634730539,0.85,33.8645418327,0.44,30.7692307692,33.436477007,30.1583679115,19.0631332814,19.8360995851,1.48,-0.33,average,Maine                                                                                                       ,127234.0,88339.0,-38895.0
23709,2.16,3.92,3.95,0.79,405,(V01) (405) MROC WHT RIVER JCT VT,852.0,853.0,881.0,921.0,1022.0,1177.0,405wh,21091,3.83,6.09,7.09,1.86,21581,1.77,3.62,4.08,1.32,405,"(V01) (405) White River Junction, VT",47.0,0.0,0.0,1.58,19232,0.84,2.24,3.22,1.14,8.42,8.91,14.02,6.0,,"WHITE RIVER JUNCTION, VT",VT,"<[OK] Google - Geocode [White River Junction, Hartford, VT, USA]>",7,WINDSOR,"WINDSOR, VT",-589.0,-1140.0,-2097.0,-2784.0,1926.0,2613.0,3570.0,4121.0,-2618,-11.0422202539,2349,12.2140183028,4477,-490,23.2789101498,-2.27051573143,-110.944829127,0.0,1.0,0.117233294256,28.0,3.17820658343,40.0,4.3431053203,101.0,9.88258317025,155.0,13.1690739167,256.0,21.7502124044,5.10314875136,209.0,0.438944680851,0.768153191489,2.17,55.3571428571,1.38,61.6071428571,3.14,80.1020408163,0.86,26.7080745342,1.07,27.2959183673,0.48,57.1428571429,25.7426710098,17.9192863212,20.88165038,18.3355989805,1.67,0.19,average,Vermont                                                                                                                        ,48602.0,32123.0,-16479.0
8105,5.17,1.12,10.53,4.41,518,(V01) (518) MC BEDFORD MA,1313.0,1265.0,1245.0,1251.0,1297.0,1352.0,518be,14456,7.54,0.6,11.21,3.07,13170,1.15,0.43,6.01,0.76,518,"(V01) (518) Bedford, MA",13.0,0.0,1.0,1.59,11976,3.67,0.88,5.3,6.2,8.59,4.09,8.14,7.89,,"BEDFORD, MA",MA,"<[OK] Google - Geocode [Bedford, MA, USA]>",4,MIDDLESEX,"MIDDLESEX, MA",-12828.0,-23583.0,-39571.0,-49185.0,24223.0,33837.0,49825.0,60580.0,6351,78.3590376311,1194,9.96993987976,-3871,1286,-32.3229792919,9.76461655277,-133.221389822,1.0,-48.0,-3.79446640316,-20.0,-1.60642570281,6.0,0.479616306954,46.0,3.5466461064,55.0,4.06804733728,101.0,7.47041420118,1.03916866507,88.0,0.846830769231,1.07778461538,-0.52,-46.4285714286,-0.45,-51.1363636364,0.68,60.7142857143,0.71,13.3962264151,-1.34,-119.642857143,-2.91,-79.2915531335,6.47881694644,10.6923076923,9.57314148681,9.74112426036,2.37,-0.44,average,Massachusetts,379772.0,202167.0,-177605.0
85625,1.71,1.66,3.53,3.92,523,(V01) (523) HCS BOSTON MA,4022.0,4011.0,4041.0,4032.0,4123.0,4303.0,523va,84373,4.43,14.46,6.76,3.08,46306,2.71,7.47,5.75,2.17,523,"(V01) (523) VA Boston HCS, MA",86.0,0.0,0.0,1.05,45669,2.63,1.16,3.17,8.0,7.81,8.98,10.11,5.48,2.0,"VA BOSTON HCS, MA",MA,<[ZERO_RESULTS] Google - Geocode>,0,,,,,,,,,,,-1252,-1.46218978102,637,1.39481924281,39956,38067,87.4904201975,82.2074893102,-4.72770047052,0.0,-11.0,-0.274245823984,30.0,0.742390497402,-9.0,-0.223214285714,91.0,2.20713073005,180.0,4.1831280502,271.0,6.29793167558,2.13293650794,185.0,0.543851162791,0.778269767442,12.8,771.084337349,6.31,543.965517241,3.23,194.578313253,2.58,81.3880126183,-0.84,-50.6024096386,-0.46,-17.4904942966,21.236359127,19.6079479433,11.3266369048,10.7613293051,2.72,1.66,large,Massachusetts,379772.0,202167.0,-177605.0
19511,2.64,2.66,4.21,5.13,608,(V01) (608) MC MANCHESTER NH,663.0,683.0,691.0,686.0,759.0,803.0,608ma,25424,4.09,5.75,4.58,5.21,18849,1.6,4.99,2.93,2.94,608,"(V01) (608) Manchester, NH",48.0,0.0,0.0,1.63,17616,3.01,2.49,3.65,7.74,11.34,11.19,9.09,13.43,2.0,"MANCHESTER, NH",NH,"<[OK] Google - Geocode [Manchester, NH, USA]>",2,HILLSBOROUGH,"HILLSBOROUGH, NH",-3944.0,-7378.0,-12909.0,-16857.0,14724.0,18672.0,24203.0,27637.0,5913,30.3059812414,1233,6.99931880109,1895,6575,10.7572661217,34.8824871346,246.965699208,0.0,20.0,2.92825768668,8.0,1.15774240232,-5.0,-0.728862973761,73.0,9.61791831357,44.0,5.47945205479,117.0,14.5703611457,6.9970845481,69.0,0.3558625,0.380158333333,3.09,116.165413534,2.5,100.401606426,0.37,13.9097744361,-0.72,-19.7260273973,0.08,3.00751879699,-0.07,-2.32558139535,28.4416909621,31.6612702366,25.6793002915,23.4732254047,1.45,-0.03,small,New Hampshire                                                                                                                  ,113660.0,73499.0,-40161.0
22602,9.26,10.54,12.5,4.18,631,(V01) (631) MC NORTHAMPTON MA,639.0,726.0,767.0,795.0,803.0,876.0,631va,28207,6.92,7.88,8.92,5.17,19521,3.22,5.56,5.98,4.0,631,(V01) (631) VA Central Western Massachusetts HCS,36.0,1.0,0.0,5.0,19536,2.91,6.31,7.8,9.28,4.92,11.34,13.51,8.62,,VA CENTRAL WESTERN MASSACHUSETTS HCS,CS,<[ZERO_RESULTS] Google - Geocode>,0,,,,,,,,,,,5605,24.7986903814,-15,-0.0767813267813,3066,8686,15.6941031941,44.4956713283,183.300717547,1.0,87.0,11.9834710744,41.0,5.34550195567,28.0,3.52201257862,8.0,0.996264009963,73.0,8.33333333333,81.0,9.24657534247,4.52830188679,45.0,1.39345833333,2.32758333333,-2.66,-25.2371916509,-0.75,-11.8858954041,-3.58,-33.9658444023,-1.82,-23.3333333333,0.99,9.39278937381,1.09,37.4570446735,28.4301886792,32.1997716895,24.5735849057,22.2842465753,-2.34,-1.78,small,,,,
38893,4.12,7.4,4.59,9.33,650,(V01) (650) MC PROVIDENCE RI,1215.0,1262.0,1279.0,1342.0,1406.0,1474.0,650pr,55615,3.13,7.0,5.15,4.35,31972,2.14,4.47,4.76,2.58,650,"(V01) (650) Providence, RI",59.0,1.0,0.0,1.42,28521,4.05,2.35,3.65,5.19,8.15,3.09,8.79,9.27,3.0,"PROVIDENCE, RI",RI,"<[OK] Google - Geocode [Providence, RI, USA]>",4,PROVIDENCE,"PROVIDENCE, RI",-5785.0,-10518.0,-17634.0,-22381.0,14373.0,19120.0,26236.0,30969.0,16722,42.994883398,3451,12.0998562463,10372,23643,36.3661863189,73.9490804454,127.950250675,1.0,47.0,3.72424722662,17.0,1.32916340891,63.0,4.69448584203,64.0,4.55192034139,68.0,4.61329715061,132.0,8.9552238806,4.39642324888,73.0,0.534525423729,1.68318644068,-0.4,-5.40540540541,2.12,90.2127659574,0.56,7.56756756757,1.11,30.4109589041,-4.98,-67.2972972973,-1.47,-36.2962962963,28.9813710879,37.7306648575,21.2526080477,21.6906377205,-0.99,0.72,average,Rhode Island                                                                                                                   ,71966.0,40990.0,-30977.0
49615,2.18,2.35,4.15,3.92,689,(V01) (689) HCS WEST HAVEN CT,2477.0,2541.0,2623.0,2812.0,2926.0,2972.0,689va,55207,3.39,1.96,6.03,2.27,51874,1.18,1.12,3.81,1.7,689,"(V01) (689) VA Connecticut HCS, CT",41.0,1.0,1.0,1.5,48622,2.99,1.34,3.42,7.19,8.26,6.01,7.81,6.83,1.0,"VA CONNECTICUT HCS, CT",CT,<[OVER_QUERY_LIMIT] Google - Geocode>,0,,,,,,,,,,,5592,11.2707850448,3252,6.68833038542,993,3333,2.04228538522,6.42518409993,235.649546828,2.0,64.0,2.51869342778,82.0,3.12619138391,189.0,6.72119487909,114.0,3.8961038961,46.0,1.54777927322,160.0,5.38358008075,1.45803698435,119.0,0.919043902439,1.61175609756,-0.39,-16.5957446809,-0.22,-16.4179104478,1.88,80.0,0.39,11.4035087719,-1.65,-70.2127659574,-1.29,-43.143812709,17.6440256046,18.5757065949,17.2908961593,17.4542395693,1.21,-0.32,average,Connecticut                                                                                                                      ,213420.0,114469.0,-98951.0
31376,3.16,2.33,3.64,4.29,528al,(V02) (479) V2HCNALBANY NY,22.0,48.0,55.0,48.0,47.0,50.0,528al,41366,7.47,5.72,9.63,7.45,23419,3.89,4.83,5.39,4.81,528,"(V02) (528) Albany, NY",14.0,2.0,0.0,0.88,24865,3.02,1.28,1.86,0.0,0.0,0.0,80.0,0.0,1.0,"ALBANY, NY",NY,<[OVER_QUERY_LIMIT] Google - Geocode>,0,,,,,,,,,,,9990,31.8396226415,-1446,-5.81540317716,6511,17947,26.1854011663,76.6343567189,175.641222546,2.0,26.0,54.1666666667,7.0,12.7272727273,-7.0,-14.5833333333,-1.0,-2.12765957447,3.0,6.0,2.0,4.0,29.1666666667,-12.0,0.0438857142857,0.0798857142857,3.39,145.493562232,3.55,277.34375,5.99,257.081545064,3.53,189.784946237,3.16,135.622317597,1.79,59.2715231788,653.666666667,827.32,518.020833333,468.38,4.31,3.01,small,New York                                                                                                                      ,892221.0,478116.0,-414106.0
14816,4.2,3.35,7.7,4.97,528ba,,,,,,,,528ba,15486,4.08,7.02,8.97,4.16,15432,1.8,3.47,7.04,2.13,528,"(V02) (528) Bath, NY",4.0,0.0,0.0,1.85,13553,0.13,3.05,5.33,,,,,,,"BATH, NY",NY,<[OVER_QUERY_LIMIT] Google - Geocode>,0,,,,,,,,,,,670,4.52213822894,1879,13.8640891316,1263,54,9.31896996975,0.349922239502,-95.7244655582,0.0,,,,,,,,,,,,,,,,,3.67,109.552238806,0.42,13.7704918033,1.27,37.9104477612,1.71,32.0825515947,-0.81,-24.1791044776,2.0,1538.46153846,,,,,-0.12,-0.05,average,New York                                                                                                                      ,892221.0,478116.0,-414106.0
