"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
"(V01) (402) Togus, ME","41,320","39,353",95.24%,"1,967",4.76%,4,41,"37,093",23,"2,260",3,"1,322",4,427,3,123,4,95,4,9.03,5.37,3.52
(V01) (402) Togus VAMC,"26,095","24,798",95.03%,"1,297",4.97%,0,40,"23,448",23,"1,350",3,862,3,324,3,70,4,41,4,10.36,4.94,6.43
"(V01) (402GA) Aroostook County
(Caribou)","1,101",988,89.74%,113,10.26%,0,0,815,0,173,0,106,0,7,0,0,0,0,0,16.22,0,3.78
(V01) (402GB) Calais,220,219,99.55%,1,0.45%,0,0,210,0,9,0,1,0,0,0,0,0,0,0,3.39,0,0.73
(V01) (402GC) Rumford,551,549,99.64%,2,0.36%,0,0,547,0,2,0,1,0,1,0,0,0,0,0,1.5,0,0.8
(V01) (402GD) Saco,"1,808","1,718",95.02%,90,4.98%,0,0,"1,576",0,142,0,78,0,7,0,5,0,0,0,10.76,3.67,2.54
(V01) (402GE) Lewiston,"2,472","2,342",94.74%,130,5.26%,0,0,"2,198",0,144,0,50,0,60,0,20,0,0,0,7.32,3.88,3.51
(V01) (402GF) Lincoln,187,187,100.00%,0,0.00%,0,0,184,0,3,0,0,0,0,0,0,0,0,0,1.02,0,1.45
(V01) (402HB) Bangor,"6,221","5,969",95.95%,252,4.05%,0,1,"5,705",0,264,0,171,1,8,0,21,0,52,0,4.59,9.22,1.2
"(V01) (402HC) Portland Outreach Clinic-
CDRP Satellite South","2,515","2,470",98.21%,45,1.79%,0,0,"2,322",0,148,0,40,0,3,0,0,0,2,0,6.59,3.7,1.08
(V01) (402HL) Bingham VA Mobile Clinic,49,49,100.00%,0,0.00%,0,0,34,0,15,0,0,0,0,0,0,0,0,0,9.87,,
(V01) (402QA) Fort Kent,73,39,53.42%,34,46.58%,0,0,34,0,5,0,10,0,17,0,7,0,0,0,41.49,,
(V01) (402QB) Houlton,28,25,89.29%,3,10.71%,0,0,20,0,5,0,3,0,0,0,0,0,0,0,11.75,,
"(V01) (405) White River Junction, VT","20,082","19,121",95.21%,961,4.79%,21,138,"17,644",13,"1,477",13,646,30,125,24,59,17,131,41,6.37,8.44,1.84
(V01) (405) White River Jct VAMC,"14,839","14,131",95.23%,708,4.77%,0,119,"13,026",9,"1,105",10,474,22,70,23,35,16,129,39,6.02,8.76,2.15
(V01) (405GA) Bennington,626,626,100.00%,0,0.00%,0,0,597,0,29,0,0,0,0,0,0,0,0,0,5.22,1.07,1.84
(V01) (405GC) Brattleboro,344,342,99.42%,2,0.58%,0,0,318,0,24,0,2,0,0,0,0,0,0,0,4.9,0.1,0.7
(V01) (405HA) Burlington Lakeside,"2,598","2,376",91.45%,222,8.55%,0,9,"2,147",1,229,2,151,4,48,1,21,1,2,0,8.85,8.97,0.2
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",804,801,99.63%,3,0.37%,0,2,781,1,20,1,1,0,0,0,2,0,0,0,3.27,0.55,2.17
(V01) (405HE) KEENE (ORC),269,252,93.68%,17,6.32%,0,5,215,2,37,0,10,1,7,0,0,0,0,2,12.06,0,3.5
(V01) (405HF) Rutland,602,593,98.50%,9,1.50%,0,3,560,0,33,0,8,3,0,0,1,0,0,0,4.41,4.28,2.37
"(V01) (518) Bedford, MA","14,064","12,929",91.93%,"1,135",8.07%,27,68,"11,932",3,997,4,622,13,294,9,97,9,122,30,1.09,12.09,3.28
(V01) (518) Edith Nourse Rogers VAMC,"12,818","11,705",91.32%,"1,113",8.68%,0,67,"10,735",3,970,4,607,13,292,9,95,9,119,29,1.64,12.12,3.15
(V01) (518GA) Lynn,621,613,98.71%,8,1.29%,0,0,607,0,6,0,3,0,2,0,0,0,3,0,0.13,0,3.5
(V01) (518GB) Haverhill,456,443,97.15%,13,2.85%,0,1,426,0,17,0,11,0,0,0,2,0,0,1,0.52,11.42,4.41
(V01) (518GE) Gloucester,169,168,99.41%,1,0.59%,0,0,164,0,4,0,1,0,0,0,0,0,0,0,0.11,13.33,7.75
"(V01) (523) VA Boston HCS, MA","80,405","76,653",95.33%,"3,752",4.67%,7,96,"70,743",21,"5,910",12,"2,329",15,709,13,315,8,399,27,14.09,6.78,3.53
(V01) (523) Jamaica Plain VAMC,"34,988","33,495",95.73%,"1,493",4.27%,0,49,"30,635",11,"2,860",5,992,5,226,11,97,5,177,12,7.94,6.9,2.87
(V01) (523A4) West Roxbury VAMC,"13,716","13,094",95.47%,622,4.53%,0,20,"11,926",2,"1,168",5,422,3,92,1,29,2,79,7,16.91,6.24,0.22
(V01) (523A5) Brockton VAMC,"22,263","21,043",94.52%,"1,220",5.48%,0,18,"19,616",4,"1,427",1,648,4,290,1,162,1,120,7,21.32,7.46,3.12
(V01) (523BY) Lowell,"3,632","3,429",94.41%,203,5.59%,0,4,"3,216",1,213,0,115,2,57,0,18,0,13,1,15.89,6.04,6.79
(V01) (523BZ) Causeway,"4,922","4,743",96.36%,179,3.64%,0,5,"4,603",3,140,1,126,1,36,0,8,0,9,0,13.06,3.11,2.92
(V01) (523GA) Framingham,404,380,94.06%,24,5.94%,0,0,335,0,45,0,21,0,3,0,0,0,0,0,7.03,4.83,6.88
(V01) (523GC) Quincy,137,133,97.08%,4,2.92%,0,0,114,0,19,0,1,0,3,0,0,0,0,0,7.64,,
(V01) (523GD) Plymouth,332,324,97.59%,8,2.41%,0,0,286,0,38,0,4,0,2,0,1,0,1,0,7.33,4.86,
(V01) (523MA) IDES Hanscom AFB,12,12,100.00%,0,0.00%,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V01) (608) Manchester, NH","24,279","23,310",96.01%,969,3.99%,5,145,"21,958",13,"1,352",14,815,22,105,21,26,30,23,45,4.36,4.69,5.08
(V01) (608) Manchester VAMC,"21,905","21,050",96.10%,855,3.90%,0,145,"19,955",13,"1,095",14,721,22,91,21,20,30,23,45,3.71,4.52,4.98
(V01) (608GA) Portsmouth,517,496,95.94%,21,4.06%,0,0,448,0,48,0,18,0,3,0,0,0,0,0,5.01,16.79,6.58
(V01) (608GC) Somersworth,"1,104","1,025",92.84%,79,7.16%,0,0,888,0,137,0,66,0,7,0,6,0,0,0,8.89,17.01,5.46
(V01) (608GD) Conway,253,252,99.60%,1,0.40%,0,0,222,0,30,0,1,0,0,0,0,0,0,0,5.56,3.43,4.67
(V01) (608HA) Tilton,500,487,97.40%,13,2.60%,0,0,445,0,42,0,9,0,4,0,0,0,0,0,4.95,9.57,4.01
"(V01) (631) VA Central Western Massachusetts
HCS","28,111","26,014",92.54%,"2,097",7.46%,31,54,"23,837",16,"2,177",5,"1,396",11,472,12,149,6,80,4,7.92,9.12,5.51
(V01) (631BY) Springfield,"4,428","4,214",95.17%,214,4.83%,0,3,"3,899",2,315,1,168,0,38,0,7,0,1,0,9.68,3.23,3.86
(V01) (631GC) Pittsfield,760,671,88.29%,89,11.71%,0,0,626,0,45,0,65,0,13,0,9,0,2,0,16.77,6.46,3.72
"(V01) (631GD) Greenfield (Franklin
County)",825,810,98.18%,15,1.82%,0,0,760,0,50,0,12,0,2,0,0,0,1,0,3.15,3.52,5.08
(V01) (631GE) Worcester,"6,375","6,055",94.98%,320,5.02%,0,3,"5,713",2,342,0,160,1,56,0,77,0,27,0,3.7,13.8,5.63
(V01) (631GF) Fitchburg,548,536,97.81%,12,2.19%,0,0,479,0,57,0,11,0,1,0,0,0,0,0,5.15,11.85,4.06
(V01) (631PA) 631PA,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
(V01) (631QA) Plantation Street,"2,292","2,138",93.28%,154,6.72%,0,0,"2,066",0,72,0,118,0,31,0,3,0,2,0,,5.33,
"(V01) (650) Providence, RI","54,394","52,661",96.81%,"1,733",3.19%,13,21,"49,615",7,"3,046",6,"1,118",4,391,2,112,1,112,1,6.43,5.2,4.26
(V01) (650) Providence VAMC,"44,644","43,217",96.80%,"1,427",3.20%,0,19,"40,623",6,"2,594",6,948,4,318,1,86,1,75,1,7.93,5.25,2.97
"(V01) (650GA) New Bedford Primary Care
Ctr.","4,488","4,287",95.52%,201,4.48%,0,2,"4,046",1,241,0,114,0,58,1,10,0,19,0,4.13,1.35,11.68
(V01) (650GB) Hyannis,"4,248","4,152",97.74%,96,2.26%,0,0,"3,955",0,197,0,49,0,14,0,15,0,18,0,6.87,9.15,1.66
