"Facility
(Administrati
ve Parent)
(Data On
11/1/14)","Total Appts
Scheduled1","Appts
scheduled
30 Days or
under2","Percent
Appts
scheduled
30 Days or
under3","Appts
scheduled
over 30
Days4","Percent
Appts
scheduled
over 30
Days5",,"New
Enrollee
Appt
Request6",,"EWL
Count7",,"Appts
Between
0 - 14 Days8","EWL 0 -
14
Days9","Appts
Between
15 - 30
Days10","EWL 15-30
Days11","Appts
Between
31 - 60
days12","EWL 31-
60
Days13","Appts
Between
61 - 90
Days14","EWL 61-90
Days15","Appts
Between
91 - 120
Days16","EWL 91-
120
Days17","Appts
Beyond
120 Days18","EWL
greater
than 120
Days19",,"PC Avg
Wait
Time20","SC Avg
Wait
Time21","MH Avg
Wait
Time22"
"(V09) (621) Mountain Home, TN","74,768","71,782",96.01%,"2,986",3.99%,,0,,234,,"69,611",49,"2,171",60,"1,779",48,629,46,384,23,194,8,,8.22,3.64,2.16
"(V09) (581) Huntington, WV","28,376","27,013",95.20%,"1,363",4.80%,,0,,5,,"24,839",1,"2,174",4,"1,199",0,155,0,8,0,1,0,,8.81,5.9,2.44
(V17) (740) VA Texas Valley Coastal Bend HCS,"18,253","15,566",85.28%,"2,687",14.72%,,0,,32,,"14,215",3,"1,351",5,"1,305",7,772,7,542,4,68,6,,23.96,6.59,4.6
"(V04) (542) Coatesville, PA","9,371","9,282",99.05%,89,0.95%,,0,,0,,"9,028",0,254,0,67,0,12,0,7,0,3,0,,1.49,3.67,1.04
"(V15) (589) Kansas City, MO","33,898","32,329",95.37%,"1,569",4.63%,,8,,102,,"31,132",14,"1,197",14,825,30,419,17,242,11,83,16,,3.74,6.18,2.4
"(V20) (663) VA Pugent Sound, WA","68,612","66,031",96.24%,"2,581",3.76%,,0,,95,,"62,353",47,"3,678",8,"1,832",9,613,5,112,4,24,22,,6,6.7,1.32
"(V04) (460) Wilmington, DE","25,126","23,169",92.21%,"1,957",7.79%,,0,,8,,"21,295",6,"1,874",1,"1,101",1,382,0,242,0,232,0,,17.33,8.73,3.27
"(V06) (658) Salem, VA","41,111","39,355",95.73%,"1,756",4.27%,,12,,149,,"37,615",23,"1,740",15,875,33,495,10,350,22,36,46,,3.28,7.28,0.62
"(V10) (538) Chillcothe, OH","16,873","15,096",89.47%,"1,777",10.53%,,0,,170,,"13,990",24,"1,106",36,"1,126",12,451,17,104,13,96,68,,4.99,14.48,4.73
"(V09) (596) Lexington, KY","33,796","31,029",91.81%,"2,767",8.19%,,0,,706,,"27,281",242,"3,748",144,"2,194",189,503,51,44,41,26,39,,8.41,8.79,7.57
"(V11) (583) Indianapolic, IN","52,912","50,493",95.43%,"2,419",4.57%,,9,,0,,"47,843",0,"2,650",0,"1,916",0,339,0,79,0,85,0,,4,4.83,2.75
"(V21) (662) San Francisco, CA","31,440","29,486",93.78%,"1,954",6.22%,,0,,177,,"27,863",41,"1,623",28,"1,416",37,389,27,113,5,36,39,,9.85,5.71,4.4
"(V16) (520) Gulf Coast HCS, MS","53,256","45,056",84.60%,"8,200",15.40%,,0,,112,,"41,470",74,"3,586",6,"5,080",7,"1,900",5,967,10,253,10,,13.66,15.73,9.01
"(V18) (644) Phoenix, AZ","68,166","59,998",88.02%,"8,168",11.98%,,0,,115,,"54,059",22,"5,939",7,"5,316",41,"1,652",21,784,16,416,8,,11.5,17.58,5.76
"(V12) (537) Jesse Brown VAMC (Chicago, IL)","45,522","42,570",93.52%,"2,952",6.48%,,0,,44,,"40,396",7,"2,174",8,"1,848",19,855,8,244,1,5,1,,6.62,7.75,2.73
"(V10) (539) Cincinnati, OH","43,137","41,511",96.23%,"1,626",3.77%,,6,,21,,"40,283",17,"1,228",2,"1,268",1,278,0,72,0,8,1,,1.95,5.72,1.63
"(V07) (679) Tuscaloosa, AL","6,258","6,100",97.48%,158,2.52%,,4,,5,,"5,843",5,257,0,123,0,21,0,11,0,3,0,,6.83,0.4,1.15
"(V01) (523) VA Boston HCS, MA","86,650","85,142",98.26%,"1,508",1.74%,,0,,361,,"81,995",174,"3,147",47,966,47,245,28,117,51,180,14,,1.44,3.88,3.9
"(V08) (573) Gainesville, FL","152,655","132,555",86.83%,"20,100",13.17%,,28,,"1,017",,"122,213",251,"10,342",160,"10,977",309,"6,198",183,"1,789",65,"1,136",49,,9.29,15.93,3.03
"(V08) (672) San Juan, PR","125,846","124,423",98.87%,"1,423",1.13%,,1,,177,,"121,347",32,"3,076",21,876,57,245,14,175,23,127,30,,2.26,2.34,3.17
"(V08) (673) Tampa, FL","125,524","117,657",93.73%,"7,867",6.27%,,57,,"1,184",,"113,713",306,"3,944",160,"3,443",218,"2,857",148,"1,168",139,399,213,,1.2,10.61,4.38
"(V09) (626) Middle Tennessee HCS, TN","124,828","116,454",93.29%,"8,374",6.71%,,0,,867,,"111,462",337,"4,992",110,"4,618",161,"2,518",121,630,60,608,78,,12.01,5.57,6.75
"(V07) (508) Atlanta, GA","118,206","109,454",92.60%,"8,752",7.40%,,4,,9,,"103,164",9,"6,290",0,"5,625",0,"2,775",0,196,0,156,0,,17.06,6.3,2.36
"(V08) (516) Bay Pines, FL","107,208","103,214",96.27%,"3,994",3.73%,,2,,168,,"98,337",25,"4,877",22,"2,902",49,729,35,168,32,195,5,,6.07,5.29,3.29
"(V08) (675) Orlando, FL","103,743","98,326",94.78%,"5,417",5.22%,,13,,"1,122",,"95,341",217,"2,985",219,"3,074",354,"1,587",202,609,59,147,71,,2.52,6.57,1.6
"(V16) (580) Houston, TX","100,321","92,364",92.07%,"7,957",7.93%,,3,,12,,"88,797",11,"3,567",1,"5,060",0,"2,417",0,409,0,71,0,,10.86,6.05,4.05
"(V17) (549) Dallas, TX","91,292","87,847",96.23%,"3,445",3.77%,,0,,2,,"84,038",2,"3,809",0,"2,695",0,544,0,137,0,69,0,,4.8,4.59,3.22
(V22) (691) Greater Los Angeles HCS,"85,966","76,931",89.49%,"9,035",10.51%,,0,,218,,"70,956",50,"5,975",37,"5,228",81,"2,615",19,"1,041",3,151,28,,6.7,13.83,4.82
"(V17) (674) Temple, TX","85,259","78,209",91.73%,"7,050",8.27%,,22,,5,,"72,644",5,"5,565",0,"5,344",0,"1,200",0,334,0,172,0,,12.54,7.79,8.08
"(V06) (659) Salisbury, NC","76,250","69,656",91.35%,"6,594",8.65%,,3,,213,,"64,990",86,"4,666",83,"3,486",16,"1,655",6,713,6,740,16,,5.2,10.34,14.89
"(V23) (618) Minneapolis, MN","72,673","70,479",96.98%,"2,194",3.02%,,0,,19,,"68,345",18,"2,134",0,"1,674",1,325,0,44,0,151,0,,4.32,4.16,1.27
"(V06) (558) Durham, NC","72,447","66,723",92.10%,"5,724",7.90%,,159,,99,,"61,426",30,"5,297",10,"4,180",10,"1,094",14,246,13,204,22,,12.53,8.31,2.43
"(V20) (648) Portland, OR","71,627","66,632",93.03%,"4,995",6.97%,,0,,849,,"62,351",158,"4,281",125,"3,489",298,"1,035",74,378,73,93,121,,12.87,7.21,1.39
"(V10) (541) Cleveland, OH","71,340","67,531",94.66%,"3,809",5.34%,,11,,4,,"63,475",4,"4,056",0,"3,413",0,294,0,82,0,20,0,,5.2,5.69,3.06
"(V07) (544) Columbia, SC","70,960","65,297",92.02%,"5,663",7.98%,,11,,609,,"59,975",138,"5,322",146,"3,390",196,"1,831",39,270,29,172,61,,11.03,8.53,7.85
"(V04) (646) Pittsburgh, PA","68,867","67,073",97.39%,"1,794",2.61%,,0,,0,,"64,168",0,"2,905",0,"1,205",0,360,0,147,0,82,0,,3.69,4,1.78
"(V08) (548) West Palm Beach, FL","68,311","65,841",96.38%,"2,470",3.62%,,5,,7,,"63,048",4,"2,793",1,"1,770",2,457,0,220,0,23,0,,1.64,6.56,1.82
"(V22) (605) Loma Linda, CA","66,590","61,062",91.70%,"5,528",8.30%,,0,,59,,"56,379",23,"4,683",8,"3,399",6,"1,210",5,386,2,533,15,,6.6,11.81,4.92
