CO/VISN,Office/Facility,Station,Occupation,NbrEmps,ID
CO,Academic Affiliations (10A2D),101,602,1,
CO,ADUSH for Informatics and Information Governance (10P2),101,343,7,
CO,ADUSH for Policy & Planning (10P1),101,150,1,
CO,"CBO, Revenue Operations (10NB3)",101,303,2,
CO,"CBO, Revenue Operations (10NB3)",101,503,3,
CO,"CBO, Revenue Operations (10NB3)",101,610,4,
CO,Chief Business Office (10NB),101,301,2,
CO,Chief Business Office (10NB),101,602,2,
CO,Chief Business Office (10NB),101,610,1,
CO,Employee Education System (10A2B),777,1701,1,
CO,Member Services (10NF),101,343,7,
CO,Procurement & Logistics (10NA2),101,1102,4,
CO,Procurement & Logistics (10NA2),101,1106,1,
CO,Public Health (10P3),101,602,1,
CO,Readjustment Counseling (10RCS),101,101,4,
CO,Readjustment Counseling (10RCS),101,180,1,
CO,Readjustment Counseling (10RCS),101,185,5,
CO,Readjustment Counseling (10RCS),101,303,2,
1,"HCS Boston, MA (Jamaica Plain)",523,102,1,
1,"HCS Boston, MA (Jamaica Plain)",523,180,2,
1,"HCS Boston, MA (Jamaica Plain)",523,185,5,
1,"HCS Boston, MA (Jamaica Plain)",523,303,1,
1,"HCS Boston, MA (Jamaica Plain)",523,344,1,
1,"HCS Boston, MA (Jamaica Plain)",523,601,2,
1,"HCS Boston, MA (Jamaica Plain)",523,602,14,
1,"HCS Boston, MA (Jamaica Plain)",523,603,2,
1,"HCS Boston, MA (Jamaica Plain)",523,605,1,
1,"HCS Boston, MA (Jamaica Plain)",523,610,13,
1,"HCS Boston, MA (Jamaica Plain)",523,620,2,
1,"HCS Boston, MA (Jamaica Plain)",523,631,3,
1,"HCS Boston, MA (Jamaica Plain)",523,633,3,
1,"HCS Boston, MA (Jamaica Plain)",523,640,2,
1,"HCS Boston, MA (Jamaica Plain)",523,661,1,
1,"HCS Boston, MA (Jamaica Plain)",523,662,1,
1,"HCS Boston, MA (Jamaica Plain)",523,668,1,
1,"HCS Boston, MA (Jamaica Plain)",523,671,2,
1,"HCS Boston, MA (Jamaica Plain)",523,679,29,
1,HCS Central Western MA,631,180,3,
1,HCS Central Western MA,631,602,6,
1,HCS Central Western MA,631,610,9,
1,HCS Central Western MA,631,620,2,
1,HCS Central Western MA,631,621,2,
1,HCS Central Western MA,631,633,3,
1,HCS Central Western MA,631,640,2,
1,HCS Central Western MA,631,649,1,
1,HCS Central Western MA,631,662,1,
1,HCS Central Western MA,631,679,5,
1,HCS Central Western MA,631,681,2,
1,HCS Connecticut (West Haven),689,101,2,
1,HCS Connecticut (West Haven),689,180,1,
1,HCS Connecticut (West Haven),689,187,3,
1,HCS Connecticut (West Haven),689,602,7,
1,HCS Connecticut (West Haven),689,610,11,
1,HCS Connecticut (West Haven),689,620,8,
1,HCS Connecticut (West Haven),689,679,9,
1,"HCS Maine - Togus (Augusta, ME)",402,102,3,
1,"HCS Maine - Togus (Augusta, ME)",402,180,4,
1,"HCS Maine - Togus (Augusta, ME)",402,185,4,
1,"HCS Maine - Togus (Augusta, ME)",402,602,11,
1,"HCS Maine - Togus (Augusta, ME)",402,605,1,
1,"HCS Maine - Togus (Augusta, ME)",402,610,11,
1,"HCS Maine - Togus (Augusta, ME)",402,640,2,
1,"HCS Maine - Togus (Augusta, ME)",402,649,1,
1,"HCS Maine - Togus (Augusta, ME)",402,662,1,
1,"HCS Maine - Togus (Augusta, ME)",402,665,1,
1,"HCS Maine - Togus (Augusta, ME)",402,668,1,
1,"HCS Maine - Togus (Augusta, ME)",402,679,7,
1,"VAMC Bedford, MA",518,341,1,
1,"VAMC Bedford, MA",518,602,4,
1,"VAMC Bedford, MA",518,610,1,
1,"VAMC Bedford, MA",518,620,1,
1,"VAMC Bedford, MA",518,621,1,
1,"VAMC Bedford, MA",518,671,2,
1,"VAMC Bedford, MA",518,679,3,
1,"VAMC Manchester, NH",608,101,1,
1,"VAMC Manchester, NH",608,180,1,
1,"VAMC Manchester, NH",608,185,3,
1,"VAMC Manchester, NH",608,602,7,
1,"VAMC Manchester, NH",608,605,1,
1,"VAMC Manchester, NH",608,610,13,
1,"VAMC Manchester, NH",608,621,1,
1,"VAMC Manchester, NH",608,640,3,
1,"VAMC Manchester, NH",608,647,1,
1,"VAMC Manchester, NH",608,671,1,
1,"VAMC Manchester, NH",608,679,16,
1,"VAMC Providence, RI",650,180,1,
1,"VAMC Providence, RI",650,601,1,
1,"VAMC Providence, RI",650,602,22,
1,"VAMC Providence, RI",650,610,17,
1,"VAMC Providence, RI",650,620,2,
1,"VAMC Providence, RI",650,631,1,
1,"VAMC Providence, RI",650,633,3,
1,"VAMC Providence, RI",650,640,1,
1,"VAMC Providence, RI",650,649,2,
1,"VAMC Providence, RI",650,679,9,
1,"VAMC White River Jct, VT",405,102,1,
1,"VAMC White River Jct, VT",405,180,2,
1,"VAMC White River Jct, VT",405,185,4,
1,"VAMC White River Jct, VT",405,601,3,
1,"VAMC White River Jct, VT",405,602,7,
1,"VAMC White River Jct, VT",405,603,1,
1,"VAMC White River Jct, VT",405,605,1,
1,"VAMC White River Jct, VT",405,610,16,
1,"VAMC White River Jct, VT",405,620,2,
1,"VAMC White River Jct, VT",405,640,4,
1,"VAMC White River Jct, VT",405,645,1,
1,"VAMC White River Jct, VT",405,665,1,
1,"VAMC White River Jct, VT",405,679,4,
1,"VISN 1 Bedford, MA",478,671,2,
2,"HCS Hudson Valley, NY",620,180,3,
2,"HCS Hudson Valley, NY",620,185,2,
2,"HCS Hudson Valley, NY",620,203,2,
2,"HCS Hudson Valley, NY",620,602,3,
2,"HCS Hudson Valley, NY",620,610,3,
2,"HCS Hudson Valley, NY",620,630,1,
2,"HCS Hudson Valley, NY",620,640,1,
2,"HCS Hudson Valley, NY",620,660,1,
2,"HCS Hudson Valley, NY",620,662,1,
2,"HCS Hudson Valley, NY",620,665,1,
2,"HCS Hudson Valley, NY",620,668,1,
2,"HCS Hudson Valley, NY",620,679,2,
2,HCS New Jersey (East Orange),561,180,1,
2,HCS New Jersey (East Orange),561,185,11,
2,HCS New Jersey (East Orange),561,303,1,
2,HCS New Jersey (East Orange),561,602,5,
2,HCS New Jersey (East Orange),561,603,1,
2,HCS New Jersey (East Orange),561,610,22,
2,HCS New Jersey (East Orange),561,620,1,
2,HCS New Jersey (East Orange),561,630,1,
2,HCS New Jersey (East Orange),561,633,1,
2,HCS New Jersey (East Orange),561,665,1,
2,HCS New Jersey (East Orange),561,668,1,
2,HCS New Jersey (East Orange),561,679,3,
2,HCS New Jersey (East Orange),561,4102,2,
2,"HCS NY Harbor, NY",630,180,5,
2,"HCS NY Harbor, NY",630,185,3,
2,"HCS NY Harbor, NY",630,602,13,
2,"HCS NY Harbor, NY",630,610,15,
2,"HCS NY Harbor, NY",630,640,1,
2,"HCS NY Harbor, NY",630,649,1,
2,"HCS NY Harbor, NY",630,660,4,
2,"HCS NY Harbor, NY",630,662,1,
2,"HCS NY Harbor, NY",630,665,3,
2,"HCS NY Harbor, NY",630,679,8,
2,HCS Western NY (Buffalo),528,180,1,528we
2,HCS Western NY (Buffalo),528,601,3,528we
2,HCS Western NY (Buffalo),528,602,13,528we
2,HCS Western NY (Buffalo),528,603,2,528we
2,HCS Western NY (Buffalo),528,610,2,528we
2,HCS Western NY (Buffalo),528,620,1,528we
2,HCS Western NY (Buffalo),528,660,1,528we
2,HCS Western NY (Buffalo),528,679,7,528we
2,"VAMC Albany, NY",528 D,180,2,528al
2,"VAMC Albany, NY",528 D,602,5,528al
2,"VAMC Albany, NY",528 D,603,1,528al
2,"VAMC Albany, NY",528 D,610,3,528al
2,"VAMC Albany, NY",528 D,679,3,528al
2,"VAMC Bath, NY",528 N,185,1,528ba
2,"VAMC Bath, NY",528 N,602,1,528ba
2,"VAMC Bath, NY",528 N,679,2,528ba
2,"VAMC Bronx, NY",526,180,3,
2,"VAMC Bronx, NY",526,301,1,
2,"VAMC Bronx, NY",526,601,1,
2,"VAMC Bronx, NY",526,602,11,
2,"VAMC Bronx, NY",526,610,13,
2,"VAMC Bronx, NY",526,633,1,
2,"VAMC Bronx, NY",526,640,10,
2,"VAMC Bronx, NY",526,649,2,
2,"VAMC Bronx, NY",526,662,3,
2,"VAMC Bronx, NY",526,668,3,
2,"VAMC Bronx, NY",526,679,3,
2,"VAMC Northport, NY",632,180,1,
2,"VAMC Northport, NY",632,185,1,
2,"VAMC Northport, NY",632,602,15,
2,"VAMC Northport, NY",632,610,11,
2,"VAMC Northport, NY",632,620,3,
2,"VAMC Northport, NY",632,662,5,
2,"VAMC Northport, NY",632,668,5,
2,"VAMC Northport, NY",632,679,6,
2,"VAMC Syracuse, NY",528 E,180,1,528sy
2,"VAMC Syracuse, NY",528 E,303,3,528sy
2,"VAMC Syracuse, NY",528 E,601,2,528sy
2,"VAMC Syracuse, NY",528 E,602,5,528sy
2,"VAMC Syracuse, NY",528 E,610,8,528sy
2,"VAMC Syracuse, NY",528 E,620,1,528sy
2,"VAMC Syracuse, NY",528 E,640,1,528sy
2,"VAMC Syracuse, NY",528 E,662,1,528sy
2,"VAMC Syracuse, NY",528 E,665,1,528sy
2,"VAMC Syracuse, NY",528 E,668,2,528sy
2,"VAMC Syracuse, NY",528 E,679,5,528sy
2,"VAMC Syracuse, NY",528 E,680,2,528sy
4,"HCS Pittsburgh, PA",646,102,2,
4,"HCS Pittsburgh, PA",646,185,7,
4,"HCS Pittsburgh, PA",646,301,1,
4,"HCS Pittsburgh, PA",646,303,4,
4,"HCS Pittsburgh, PA",646,343,3,
4,"HCS Pittsburgh, PA",646,601,3,
4,"HCS Pittsburgh, PA",646,602,20,
4,"HCS Pittsburgh, PA",646,603,2,
4,"HCS Pittsburgh, PA",646,605,5,
4,"HCS Pittsburgh, PA",646,610,73,
4,"HCS Pittsburgh, PA",646,620,9,
4,"HCS Pittsburgh, PA",646,621,7,
4,"HCS Pittsburgh, PA",646,631,2,
4,"HCS Pittsburgh, PA",646,633,4,
4,"HCS Pittsburgh, PA",646,640,10,
4,"HCS Pittsburgh, PA",646,647,1,
4,"HCS Pittsburgh, PA",646,649,2,
4,"HCS Pittsburgh, PA",646,660,1,
4,"HCS Pittsburgh, PA",646,662,2,
4,"HCS Pittsburgh, PA",646,667,1,
4,"HCS Pittsburgh, PA",646,679,20,
4,"VAMC Altoona, PA",503,180,2,
4,"VAMC Altoona, PA",503,185,6,
4,"VAMC Altoona, PA",503,201,2,
4,"VAMC Altoona, PA",503,301,2,
4,"VAMC Altoona, PA",503,318,1,
4,"VAMC Altoona, PA",503,602,1,
4,"VAMC Altoona, PA",503,603,1,
4,"VAMC Altoona, PA",503,610,14,
4,"VAMC Altoona, PA",503,620,1,
4,"VAMC Altoona, PA",503,633,1,
4,"VAMC Altoona, PA",503,636,1,
4,"VAMC Altoona, PA",503,640,4,
4,"VAMC Altoona, PA",503,647,2,
4,"VAMC Altoona, PA",503,660,5,
4,"VAMC Altoona, PA",503,661,1,
4,"VAMC Altoona, PA",503,662,1,
4,"VAMC Altoona, PA",503,665,2,
4,"VAMC Altoona, PA",503,675,2,
4,"VAMC Altoona, PA",503,679,17,
4,"VAMC Altoona, PA",503,682,1,
4,"VAMC Altoona, PA",503,1715,1,
4,"VAMC Butler, PA",529,185,2,
4,"VAMC Butler, PA",529,303,1,
4,"VAMC Butler, PA",529,601,2,
4,"VAMC Butler, PA",529,602,1,
4,"VAMC Butler, PA",529,610,10,
4,"VAMC Butler, PA",529,620,10,
4,"VAMC Butler, PA",529,621,1,
4,"VAMC Butler, PA",529,660,2,
4,"VAMC Butler, PA",529,668,2,
4,"VAMC Coatesville, PA",542,101,2,
4,"VAMC Coatesville, PA",542,180,2,
4,"VAMC Coatesville, PA",542,181,1,
4,"VAMC Coatesville, PA",542,185,4,
4,"VAMC Coatesville, PA",542,203,2,
4,"VAMC Coatesville, PA",542,602,3,
4,"VAMC Coatesville, PA",542,603,1,
4,"VAMC Coatesville, PA",542,610,11,
4,"VAMC Coatesville, PA",542,620,8,
4,"VAMC Coatesville, PA",542,644,1,
4,"VAMC Coatesville, PA",542,647,1,
4,"VAMC Coatesville, PA",542,1715,1,
4,"VAMC Erie, PA",562,101,1,
4,"VAMC Erie, PA",562,185,2,
4,"VAMC Erie, PA",562,601,1,
4,"VAMC Erie, PA",562,602,7,
4,"VAMC Erie, PA",562,610,15,
4,"VAMC Erie, PA",562,640,1,
4,"VAMC Erie, PA",562,660,1,
4,"VAMC Erie, PA",562,662,1,
4,"VAMC Erie, PA",562,681,1,
4,"VAMC Lebanon, PA",595,102,1,
4,"VAMC Lebanon, PA",595,180,5,
4,"VAMC Lebanon, PA",595,185,6,
4,"VAMC Lebanon, PA",595,303,2,
4,"VAMC Lebanon, PA",595,344,1,
4,"VAMC Lebanon, PA",595,602,6,
4,"VAMC Lebanon, PA",595,603,8,
4,"VAMC Lebanon, PA",595,605,1,
4,"VAMC Lebanon, PA",595,610,19,
4,"VAMC Lebanon, PA",595,620,7,
