Appts_Pending_1412,%_Appts_Over_30_Pending_1412,PC_Wait_Pending_1412,SC_Wait_Pending_1412,MH_Wait_Pending_1412,ID,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,Appts_Pending_1610,%_Appts_Over_30_Pending_1610,PC_Wait_Pending_1610,SC_Wait_Pending_1610,MH_Wait_Pending_1610,Appts_Complete_1608,%_Appts_Over_30_Complete_1608,PC_Wait_Complete_1608,SC_Wait_Complete_1608,MH_Wait_Complete_1608,Station,Location,for_dups,Choice_Hires,Interim,Vacancy,%_Appts_Over_30_Complete_1409,Appts_Complete_1409,MH_Wait_Complete_1409,PC_Wait_Complete_1409,SC_Wait_Complete_1409,Physician_Turnover_FY11,Physician_Turnover_FY12,Physician_Turnover_FY13,Physician_Turnover_FY14,Physician_Turnover_FY15,Pending_Increase,Pending_Increase_%,Complete_Increase,Complete_Increase_%,Missing_Leadership,Staff_11_To_12_Increase,Staff_11_To_12_Increase_%,Staff_12_To_13_Increase,Staff_12_To_13_Increase_%,Staff_13_To_14_Increase,Staff_13_To_14_Increase_%,Staff_14_To_15_Increase,Staff_14_To_15_Increase_%,Staff_15_To_16_Increase,Staff_15_To_16_Increase_%,Staff_14_To_16_Increase,Staff_14_To_16_Increase_%,Choice_Increase_%,Choice_Staff_Dif,PC_Wait_Pending_Increase,PC_Wait_Pending_Increase_%,PC_Wait_Complete_Increase,PC_Wait_Complete_Increase_%,SC_Wait_Pending_Increase,SC_Wait_Pending_Increase_%,SC_Wait_Complete_Increase,SC_Wait_Complete_Increase_%,MH_Wait_Pending_Increase,MH_Wait_Pending_Increase_%,MH_Wait_Complete_Increase,MH_Wait_Complete_Increase_%,Staff_To_Appts_Pending_14,Staff_To_Appts_Pending_16,Staff_To_Appts_Complete_14,Staff_To_Appts_Complete_16
42899,2.70%,2.51,4.07,2.77,402to,(V01) (402) HCS TOGUS ME,1293.0,1272.0,1248.0,1283.0,1335.0,1446.0,43609,4.18%,7.82,5.67,3.62,28683,0.0134,4.96,2.73,1.87,402,"(V01) (402) Togus, ME",402,47.0,0.0,1.0,0.0167,24458,1.43,2.72,3.34,0.0997,0.0955,0.1133,0.1474,0.0781,710,0.0165505023427,4225,0.172745114073,1.0,-21.0,-0.0165094339623,-24.0,-0.0192307692308,35.0,0.0272798129384,52.0,0.0389513108614,111.0,0.0767634854772,163.0,0.112724757953,0.0366328916602,116.0,5.31,2.11553784861,2.24,0.823529411765,1.6,0.637450199203,-0.61,-0.182634730539,0.85,0.338645418327,0.44,0.307692307692,0.0299074570503,0.0331582930129,0.0524572736937,0.0504131367012
23709,2.16%,3.92,3.95,0.79,405wh,(V01) (405) MROC WHT RIVER JCT VT,852.0,853.0,881.0,921.0,1022.0,1177.0,21091,3.83%,6.09,7.09,1.86,21581,0.0177,3.62,4.08,1.32,405,"(V01) (405) White River Junction, VT",405,47.0,0.0,0.0,0.0158,19232,0.84,2.24,3.22,0.0114,0.0842,0.0891,0.1402,0.06,-2618,-0.110422202539,2349,0.122140183028,0.0,1.0,0.00117233294256,28.0,0.0317820658343,40.0,0.043431053203,101.0,0.0988258317025,155.0,0.131690739167,256.0,0.217502124044,0.0510314875136,209.0,2.17,0.553571428571,1.38,0.616071428571,3.14,0.801020408163,0.86,0.267080745342,1.07,0.272959183673,0.48,0.571428571429,0.0388460078451,0.0558057939405,0.0478889351082,0.0545387146101
8105,5.17%,1.12,10.53,4.41,518be,(V01) (518) MC BEDFORD MA,1313.0,1265.0,1245.0,1251.0,1297.0,1352.0,14456,7.54%,0.6,11.21,3.07,13170,0.0115,0.43,6.01,0.76,518,"(V01) (518) Bedford, MA",518,13.0,0.0,1.0,0.0159,11976,3.67,0.88,5.3,0.062,0.0859,0.0409,0.0814,0.0789,6351,0.783590376311,1194,0.0996993987976,1.0,-48.0,-0.0379446640316,-20.0,-0.0160642570281,6.0,0.00479616306954,46.0,0.035466461064,55.0,0.0406804733728,101.0,0.0747041420118,0.0103916866507,88.0,-0.52,-0.464285714286,-0.45,-0.511363636364,0.68,0.607142857143,0.71,0.133962264151,-1.34,-1.19642857143,-2.91,-0.792915531335,0.154349167181,0.0935251798561,0.104458917836,0.102657555049
85625,1.71%,1.66,3.53,3.92,523va,(V01) (523) HCS BOSTON MA,4022.0,4011.0,4041.0,4032.0,4123.0,4303.0,84373,4.43%,14.46,6.76,3.08,46306,0.0271,7.47,5.75,2.17,523,"(V01) (523) VA Boston HCS, MA",523,86.0,0.0,0.0,0.0105,45669,2.63,1.16,3.17,0.08,0.0781,0.0898,0.1011,0.0548,-1252,-0.0146218978102,637,0.0139481924281,0.0,-11.0,-0.00274245823984,30.0,0.00742390497402,-9.0,-0.00223214285714,91.0,0.0220713073005,180.0,0.041831280502,271.0,0.0629793167558,0.0213293650794,185.0,12.8,7.71084337349,6.31,5.43965517241,3.23,1.94578313253,2.58,0.813880126183,-0.84,-0.506024096386,-0.46,-0.174904942966,0.0470890510949,0.0509997274009,0.0882874597648,0.0929253228523
19511,2.64%,2.66,4.21,5.13,608ma,(V01) (608) MC MANCHESTER NH,663.0,683.0,691.0,686.0,759.0,803.0,25424,4.09%,5.75,4.58,5.21,18849,0.016,4.99,2.93,2.94,608,"(V01) (608) Manchester, NH",608,48.0,0.0,0.0,0.0163,17616,3.01,2.49,3.65,0.0774,0.1134,0.1119,0.0909,0.1343,5913,0.303059812414,1233,0.0699931880109,0.0,20.0,0.0292825768668,8.0,0.0115774240232,-5.0,-0.00728862973761,73.0,0.0961791831357,44.0,0.0547945205479,117.0,0.145703611457,0.069970845481,69.0,3.09,1.16165413534,2.5,1.00401606426,0.37,0.139097744361,-0.72,-0.197260273973,0.08,0.0300751879699,-0.07,-0.0232558139535,0.0351596535288,0.0315843297671,0.0389418710263,0.0426017295347
22602,9.26%,10.54,12.5,4.18,631va,(V01) (631) MC NORTHAMPTON MA,639.0,726.0,767.0,795.0,803.0,876.0,28207,6.92%,7.88,8.92,5.17,19521,0.0322,5.56,5.98,4.0,631,(V01) (631) VA Central Western Massachusetts HCS,631,36.0,1.0,0.0,0.05,19536,2.91,6.31,7.8,0.0928,0.0492,0.1134,0.1351,0.0862,5605,0.247986903814,-15,-0.000767813267813,1.0,87.0,0.119834710744,41.0,0.0534550195567,28.0,0.0352201257862,8.0,0.00996264009963,73.0,0.0833333333333,81.0,0.0924657534247,0.0452830188679,45.0,-2.66,-0.252371916509,-0.75,-0.118858954041,-3.58,-0.339658444023,-1.82,-0.233333333333,0.99,0.0939278937381,1.09,0.374570446735,0.0351738784178,0.0310561208211,0.0406941031941,0.0448747502689
38893,4.12%,7.4,4.59,9.33,650pr,(V01) (650) MC PROVIDENCE RI,1215.0,1262.0,1279.0,1342.0,1406.0,1474.0,55615,3.13%,7.0,5.15,4.35,31972,0.0214,4.47,4.76,2.58,650,"(V01) (650) Providence, RI",650,59.0,1.0,0.0,0.0142,28521,4.05,2.35,3.65,0.0519,0.0815,0.0309,0.0879,0.0927,16722,0.42994883398,3451,0.120998562463,1.0,47.0,0.0372424722662,17.0,0.0132916340891,63.0,0.0469448584203,64.0,0.0455192034139,68.0,0.0461329715061,132.0,0.089552238806,0.0439642324888,73.0,-0.4,-0.0540540540541,2.12,0.902127659574,0.56,0.0756756756757,1.11,0.304109589041,-4.98,-0.672972972973,-1.47,-0.362962962963,0.0345049237652,0.026503641104,0.0470530486308,0.046102839985
49615,2.18%,2.35,4.15,3.92,689va,(V01) (689) HCS WEST HAVEN CT,2477.0,2541.0,2623.0,2812.0,2926.0,2972.0,55207,3.39%,1.96,6.03,2.27,51874,0.0118,1.12,3.81,1.7,689,"(V01) (689) VA Connecticut HCS, CT",689,41.0,1.0,1.0,0.015,48622,2.99,1.34,3.42,0.0719,0.0826,0.0601,0.0781,0.0683,5592,0.112707850448,3252,0.0668833038542,2.0,64.0,0.0251869342778,82.0,0.0312619138391,189.0,0.0672119487909,114.0,0.038961038961,46.0,0.0154777927322,160.0,0.0538358008075,0.0145803698435,119.0,-0.39,-0.165957446809,-0.22,-0.164179104478,1.88,0.8,0.39,0.114035087719,-1.65,-0.702127659574,-1.29,-0.43143812709,0.0566764083443,0.0538337529661,0.0578339023487,0.0572926707021
31376,3.16%,2.33,3.64,4.29,528al,(V02) (479) V2HCNALBANY NY,22.0,48.0,55.0,48.0,47.0,50.0,41366,7.47%,5.72,9.63,7.45,23419,0.0389,4.83,5.39,4.81,528,"(V02) (528) Albany, NY",528al,14.0,2.0,0.0,0.0088,24865,3.02,1.28,1.86,,,,0.8,,9990,0.318396226415,-1446,-0.0581540317716,2.0,26.0,0.541666666667,7.0,0.127272727273,-7.0,-0.145833333333,-1.0,-0.0212765957447,3.0,0.06,2.0,0.04,0.291666666667,-12.0,3.39,1.45493562232,3.55,2.7734375,5.99,2.57081545064,3.53,1.89784946237,3.16,1.35622317597,1.79,0.592715231788,0.00152983171851,0.00120872213895,0.00193042429117,0.00213501857466
14816,4.20%,3.35,7.7,4.97,528ba,,,,,,,,15486,4.08%,7.02,8.97,4.16,15432,0.018,3.47,7.04,2.13,528,"(V02) (528) Bath, NY",528ba,4.0,0.0,0.0,0.0185,13553,0.13,3.05,5.33,,,,,,670,0.0452213822894,1879,0.138640891316,0.0,,,,,,,,,,,,,,,3.67,1.09552238806,0.42,0.137704918033,1.27,0.379104477612,1.71,0.320825515947,-0.81,-0.241791044776,2.0,15.3846153846,,,,
