,VA Medical Center or System,City,State,12/31/2015 Star Rating (4th qtr),6/30/2016 Star Rating (2nd qtr),for_dups
17,Central Alabama Veterans Health Care System,Montgomery,Alabama,2,*,619
45,Birmingham VA Medical Center,Birmingham,Alabama,3,*,521
125,Tuscaloosa VA Medical Center,Tuscaloosa,Alabama,5,*,679
16,Alaska VA Healthcare System,Anchorage,Alaska,2,*,463
0,Phoenix VA Health Care System,Phoenix,Arizona,1,1,644
19,Southern Arizona VA Health Care System,Tucson,Arizona,2,*,678
46,Northern Arizona VA Health Care System,Prescott,Arizona,3,*,649
18,Central Arkansas Veterans Healthcare System,Little Rock,Arkansas,2,*,598
129,Veterans Health Care System of the Ozarks,Fayetteville,Arkansas,3,5,564
7,VA Greater Los Angeles Healthcare System,Los Angeles,California,2,1,691
20,VA Loma Linda Healthcare System,Loma Linda,California,2,*,605
21,VA Central California Health Care System,Fresno,California,2,*,570
47,San Francisco VA Medical Center ,San Francisco,California,3,*,662
48,Sacramento VA Medical Center,Mather,California,3,*,
49,VA San Diego Healthcare System,San Diego,California,3,*,664
50,VA Long Beach Healthcare System,Long Beach,California,3,*,600
98,VA Palo Alto Health Care System,Palo Alto,California,4,*,640
22,VA Eastern Colorado Health Care System,Denver,Colorado,2,*,554
51,Grand Junction VA Medical Center,Grand Junction,Colorado,3,*,575
126,VA Connecticut Healthcare System,West Haven,Connecticut,5,*,689
53,Wilmington VA Medical Center,Wilmington,Delaware,3,*,460
52,Washington DC VA Medical Center,Washington,District of Columbia,3,*,688
23,Orlando VA Medical Center,Orlando,Florida,2,*,675
24,Malcom Randall VA Medical Center,Gainesville,Florida,2,*,573
44,Lake City VA Medical Center,Lake City,Florida,2,*,675
54,Miami VA Healthcare System,Miami,Florida,3,*,546
55,Bay Pines VA Healthcare System,Bay Pines,Florida,3,*,516
56,James A. Haley Veterans' Hospital,Tampa,Florida,3,*,673
57,West Palm Beach VA Medical Center,W Palm Beach,Florida,3,*,548
10,Charlie Norwood VA Medical Center,Augusta,Georgia,1,2,509
25,Carl Vinson VA Medical Center,Dublin,Georgia,2,*,507
26,Atlanta VA Medical Center,Decatur,Georgia,2,*,508
27,Spark M. Matsunaga VA Medical Center,Honolulu,Hawaii,2,*,459
132,Boise VA Medical Center,Boise,Idaho,5,5,531
28,Marion VA Medical Center,Marion,Illinois,2,*,657ma
60,Captain James A. Lovell Federal Health Care Center,North Chicago,Illinois,3,*,556
61,Jesse Brown VA Medical Center,Chicago,Illinois,3,*,
62,VA Illiana Health Care System,Danville,Illinois,3,*,550
63,Edward Hines Jr. VA Hospital,Hines,Illinois,3,*,578
64,Richard L. Roudebush VA Medical Center,Indianapolis,Indiana,3,*,538
65,VA Northern Indiana Health Care System,Fort Wayne,Indiana,3,*,610
58,Iowa City VA Health Care System,Iowa City,Iowa,3,*,636io
59,VA Central Iowa Health Care System,Des Moines,Iowa,3,*,636ce
66,Dwight D. Eisenhower VA Medical Center,Leavenworth ,Kansas,3,*,
99,Colmery-O'Neil VA Medical Center,Topeka,Kansas,4,*,
100,Robert J. Dole VA Medical Center,Wichita,Kansas,4,*,589wi
67,Robley Rex VA Medical Center,Louisville,Kentucky,3,*,603
101,Lexington VA Medical Center,Lexington,Kentucky,4,*,596
11,Overton Brooks VA Medical Center,Shreveport,Louisiana,1,2,667
68,Southeast Louisiana Veterans Health Care System,New Orleans,Louisiana,3,*,629
69,Alexandria VA Health Care System,Pineville,Louisiana,3,*,502
30,Togus VA Medical Center,Augusta,Maine,2,*,402
12,Perry Point VA Medical Center,Perry Point,Maryland,1,2,
