station_id,facility_id,name,visn_id,ref_date,main_facility,tot_appts,appts_under_7,appts_under_14,appts_under_30,appts_under_60,appts_under_90,appts_under_120,appts_over_120,pc_avg_wait,sc_avg_wait,mh_avg_wait
402,99999,"togus, me",01,2015-04-01,0,25367,23237,1015,883,205,17,5,5,2.35,2.65,2.00
402,402,togus,01,2015-04-01,1,15276,14082,518,516,140,12,5,3,2.08,2.51,2.58
402,402GA,aroostook county (caribou),01,2015-04-01,0,744,644,41,54,5,0,0,0,4.30,0.00,1.27
402,402GB,calais,01,2015-04-01,0,381,368,6,7,0,0,0,0,0.93,0.00,1.63
402,402GC,rumford,01,2015-04-01,0,374,355,13,2,4,0,0,0,1.35,0.00,1.73
402,402GD,saco,01,2015-04-01,0,1340,1213,63,56,5,3,0,0,2.08,9.31,2.25
402,402GE,lewiston auburn,01,2015-04-01,0,1635,1524,69,35,7,0,0,0,2.40,1.07,1.59
402,402HB,bangor,01,2015-04-01,0,3975,3477,273,190,31,2,0,2,2.79,3.64,2.30
402,402HC,portland outreach clinic-cdrp satellite south,01,2015-04-01,0,1567,1511,27,18,11,0,0,0,1.73,1.16,0.79
402,402HL,r&c healthcare moc,01,2015-04-01,0,75,63,5,5,2,0,0,0,4.48,0,0
405,99999,"white river junction, vt",01,2015-04-01,0,19629,18166,743,566,129,20,1,4,2.31,2.67,0.80
405,405,white river jct,01,2015-04-01,1,14542,13369,606,473,84,10,0,0,2.50,2.71,0.77
405,405GA,bennington,01,2015-04-01,0,886,864,14,6,2,0,0,0,1.01,0.00,1.03
405,405GC,brattleboro,01,2015-04-01,0,428,415,12,1,0,0,0,0,0.63,1.11,0.69
405,405HA,burlington lakeside,01,2015-04-01,0,2369,2220,72,41,31,5,0,0,1.51,3.02,0.60
405,405HC,vicc - st. johnsbury - littleton,01,2015-04-01,0,521,467,14,21,10,5,1,3,6.51,0.31,0.79
405,405HE,keene (orc),01,2015-04-01,0,300,266,15,19,0,0,0,0,3.89,0.29,0.40
405,405HF,rutland,01,2015-04-01,0,583,565,10,5,2,0,0,1,0.62,3.08,1.73
518,99999,"bedford, ma",01,2015-04-01,0,13051,11882,567,518,73,10,0,1,0.82,5.68,1.72
518,518,bedford,01,2015-04-01,1,11557,10425,544,506,71,10,0,1,0.99,5.70,1.66
518,518GA,lynns/north shore,01,2015-04-01,0,520,499,12,7,2,0,0,0,0.43,0.00,2.73
518,518GB,haverhill,01,2015-04-01,0,679,666,8,5,0,0,0,0,0.73,4.83,1.92
518,518GE,gloucester,01,2015-04-01,0,295,292,3,0,0,0,0,0,0.39,0,2.24
523,99999,"va boston hcs, ma",01,2015-04-01,0,48253,43532,2126,1952,520,79,25,19,2.68,3.69,2.68
523,523,va boston hcs- boston div.,01,2015-04-01,1,21875,19070,1221,1292,251,28,8,5,1.32,3.90,3.77
523,523A4,va boston hcs-west roxbury div.,01,2015-04-01,0,7583,7037,246,207,70,11,6,6,2.86,2.44,3.00
523,523A5,brockton vamc,01,2015-04-01,0,11655,10756,461,307,87,29,9,6,2.74,4.17,2.11
523,523BY,lowell,01,2015-04-01,0,1696,1462,101,77,51,4,0,1,3.97,4.75,5.10
523,523BZ,causeway clinic (boston),01,2015-04-01,0,4345,4253,47,27,13,4,0,1,1.42,0.89,1.34
523,523GA,framingham va primary care unit,01,2015-04-01,0,499,469,15,11,4,0,0,0,1.34,0.00,1.81
523,523GC,quincy,01,2015-04-01,0,312,287,8,17,0,0,0,0,1.62,0,0
523,523GD,plymouth,01,2015-04-01,0,274,184,27,14,44,3,2,0,12.46,5.16,0
523,523MA,ides hanscom afb,01,2015-04-01,0,14,14,0,0,0,0,0,0,0,0,0
608,99999,"manchester, nh",01,2015-04-01,0,18236,15961,1117,939,197,20,2,0,3.89,3.24,3.16
608,608,manchester,01,2015-04-01,1,16402,14524,893,803,170,10,2,0,3.89,3.12,2.29
608,608GA,portsmouth,01,2015-04-01,0,496,390,77,23,5,1,0,0,3.51,4.00,5.87
608,608GC,somersworth,01,2015-04-01,0,636,468,81,61,17,9,0,0,5.41,16.74,6.53
608,608GD,conway,01,2015-04-01,0,279,237,21,21,0,0,0,0,2.25,1.25,5.30
608,608HA,tilton,01,2015-04-01,0,413,335,45,28,5,0,0,0,3.43,7.41,6.53
608,608MA,ides manchester vamc,01,2015-04-01,0,10,7,0,3,0,0,0,0,0.00,6.50,11.00
631,99999,va central western massachusetts hcs,01,2015-04-01,0,19435,16522,1082,1110,569,118,27,7,4.25,7.11,3.61
631,631BY,springfield,01,2015-04-01,0,4260,3869,160,159,57,15,0,0,3.25,2.32,4.13
631,631GC,pittsfield,01,2015-04-01,0,756,681,48,19,6,0,0,2,2.67,5.91,3.60
631,631GD,greenfield (franklin county),01,2015-04-01,0,762,708,25,25,4,0,0,0,1.55,1.20,2.00
631,631GE,worcester,01,2015-04-01,0,3846,3180,261,207,136,52,8,2,5.49,9.30,2.48
631,631GF,fitchburg,01,2015-04-01,0,750,612,72,54,10,2,0,0,4.54,0.56,6.00
631,631MA,ides keller army community hospital,01,2015-04-01,0,1,1,0,0,0,0,0,0,0,0,0
631,631PA,631pa,01,2015-04-01,0,1,1,0,0,0,0,0,0,0,0,0
650,99999,"providence, ri",01,2015-04-01,0,29190,25733,1358,1195,702,176,20,6,3.34,4.47,6.19
650,650,providence,01,2015-04-01,1,25874,22897,1191,1023,606,138,13,6,3.53,4.61,5.20
650,650GA,new bedford primary care ctr.,01,2015-04-01,0,1572,1286,98,118,52,14,4,0,4.18,2.02,12.07
650,650GB,hyannis primary care center,01,2015-04-01,0,1036,875,53,52,31,22,3,0,2.09,1.50,15.65
650,650GD,middletown,01,2015-04-01,0,708,675,16,2,13,2,0,0,2.23,2.46,0.50
689,99999,"va connecticut hcs, ct",01,2015-04-01,0,52545,48746,2168,1334,260,32,4,1,1.41,2.11,2.95
689,689,west haven,01,2015-04-01,1,32037,29238,1594,989,192,21,2,1,1.57,2.52,3.86
689,689A4,newington campus,01,2015-04-01,0,16888,16143,412,271,52,8,2,0,1.43,1.31,0.81
689,689GA,waterbury va primary care center,01,2015-04-01,0,611,575,24,11,1,0,0,0,0.99,0.00,2.53
689,689GB,stamford va primary care center,01,2015-04-01,0,315,308,5,2,0,0,0,0,0.62,0.00,0.79
689,689GC,willimantic cboc,01,2015-04-01,0,523,492,22,6,3,0,0,0,0.97,0,1.41
689,689GD,winsted va primary care,01,2015-04-01,0,439,413,14,10,2,0,0,0,0.61,7.00,4.18
689,689GE,danbury,01,2015-04-01,0,478,434,26,14,4,0,0,0,0.91,0,5.72
689,689HC,new london va primary care center,01,2015-04-01,0,1253,1142,71,31,6,3,0,0,1.58,0.00,3.05
689,689PB,west haven cwttr,01,2015-04-01,0,1,1,0,0,0,0,0,0,0.00,0.00,0.00
528A8,99999,"albany, ny",02,2015-04-01,0,24886,23051,946,559,224,87,15,4,1.74,2.24,2.98
528A8,528A8,albany,02,2015-04-01,1,20539,18953,761,501,220,87,14,3,2.26,2.25,3.55
528A8,528G1,malone,02,2015-04-01,0,135,134,0,0,0,0,1,0,0.84,0,0
528A8,528G2,westport,02,2015-04-01,0,269,261,8,0,0,0,0,0,0.00,0.00,1.68
528A8,528G3,bainbridge,02,2015-04-01,0,359,346,9,2,1,0,0,1,0.66,0.00,2.34
528A8,528G6,fonda,02,2015-04-01,0,270,262,5,3,0,0,0,0,0.47,2.86,0.00
528A8,528G7,catskill,02,2015-04-01,0,319,278,31,9,1,0,0,0,2.83,0.00,3.15
