Location 102016 Pending,"1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0å_14
Days","9. EWL 0å_
14 Days","10. Appts
Between 15å_30
Days","11. EWL 15
å_30 days","12. Appts
Between 31å_60
Days","13. EWL 31
å_60 Days","14. Appts
Between 61å_90
Days","15. EWL 61
å_90 Days","16. Appts
Between 91å_
120 Days","17. EWL 91
å_120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
"(V01) (402) Togus, ME","43,609","41,785",95.82%,"1,824",4.18%,5,37,"39,311",18,"2,474",4,"1,355",7,253,4,118,1,98,3,7.82,5.67,3.62
(V01) (402) Togus VAMC,"27,551","26,216",95.15%,"1,335",4.85%,0,35,"24,684",18,"1,532",2,"1,005",7,223,4,65,1,42,3,9,5.23,6.9
"(V01) (402GA) Aroostook County
(Caribou)","1,081",965,89.27%,116,10.73%,0,0,792,0,173,0,109,0,6,0,1,0,0,0,16.27,11,3.71
(V01) (402GB) Calais,282,277,98.23%,5,1.77%,0,0,263,0,14,0,4,0,1,0,0,0,0,0,5.45,0,1.64
(V01) (402GC) Rumford,562,562,100.00%,0,0.00%,0,0,560,0,2,0,0,0,0,0,0,0,0,0,1.52,,1.14
(V01) (402GD) Saco,"1,856","1,804",97.20%,52,2.80%,0,0,"1,633",0,171,0,46,0,2,0,3,0,1,0,9.49,0,2.55
(V01) (402GE) Lewiston,"2,626","2,576",98.10%,50,1.90%,0,0,"2,446",0,130,0,39,0,7,0,4,0,0,0,5.97,4.22,3.05
(V01) (402GF) Lincoln,215,214,99.53%,1,0.47%,0,0,206,0,8,0,1,0,0,0,0,0,0,0,2.19,0,1.93
(V01) (402HB) Bangor,"6,658","6,462",97.06%,196,2.94%,0,2,"6,168",0,294,2,95,0,5,0,43,0,53,0,3.87,9.39,1.14
"(V01) (402HC) Portland Outreach Clinic-
CDRP Satellite South","2,621","2,582",98.51%,39,1.49%,0,0,"2,480",0,102,0,32,0,4,0,1,0,2,0,5.36,3.83,0.42
(V01) (402HL) Bingham VA Mobile Clinic,67,63,94.03%,4,5.97%,0,0,33,0,30,0,4,0,0,0,0,0,0,0,13.96,,
(V01) (402QA) Fort Kent,61,39,63.93%,22,36.07%,0,0,25,0,14,0,16,0,5,0,1,0,0,0,28.36,,
(V01) (402QB) Houlton,29,25,86.21%,4,13.79%,0,0,21,0,4,0,4,0,0,0,0,0,0,0,13.45,,
