Location,Appts_Total_2016,PC_Wait_2016,Appts<31_16,%Appts<31_16
"(V01) (402) Togus, ME","43,609",7.82,"41,785",0.96
(V01) (402) Togus VAMC,"27,551",9,"26,216",0.95
"(V01) (402GA) Aroostook County
(Caribou)","1,081",16.27,965,0.89
(V01) (402GB) Calais,282,5.45,277,0.98
(V01) (402GC) Rumford,562,1.52,562,1.00
(V01) (402GD) Saco,"1,856",9.49,"1,804",0.97
(V01) (402GE) Lewiston,"2,626",5.97,"2,576",0.98
(V01) (402GF) Lincoln,215,2.19,214,1.00
(V01) (402HB) Bangor,"6,658",3.87,"6,462",0.97
"(V01) (402HC) Portland Outreach Clinic-
CDRP Satellite South","2,621",5.36,"2,582",0.99
(V01) (402HL) Bingham VA Mobile Clinic,67,13.96,63,0.94
(V01) (402QA) Fort Kent,61,28.36,39,0.64
(V01) (402QB) Houlton,29,13.45,25,0.86
"(V01) (405) White River Junction, VT","21,091",6.09,"20,284",0.96
(V01) (405) White River Jct VAMC,"15,296",6.05,"14,707",0.96
(V01) (405GA) Bennington,680,4.66,678,1.00
(V01) (405GC) Brattleboro,372,5.57,371,1.00
(V01) (405HA) Burlington Lakeside,"2,782",7.88,"2,587",0.93
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",928,3.07,925,1.00
(V01) (405HE) KEENE (ORC),304,11.31,292,0.96
(V01) (405HF) Rutland,729,4.95,724,0.99
"(V01) (518) Bedford, MA","14,456",0.6,"13,366",0.92
(V01) (518) Edith Nourse Rogers VAMC,"13,213",0.74,"12,146",0.92
(V01) (518GA) Lynn,611,0.36,602,0.99
(V01) (518GB) Haverhill,490,0.33,477,0.97
(V01) (518GE) Gloucester,142,0.48,141,0.99
"(V01) (523) VA Boston HCS, MA","84,373",14.46,"80,635",0.96
(V01) (523) Jamaica Plain VAMC,52,9.24,51,0.98
,"36,911",9.24,"35,390",0.96
(V01) (523A4) West Roxbury VAMC,"14,194",16.1,"13,561",0.96
(V01) (523A5) Brockton VAMC,"22,999",21.55,"21,814",0.95
(V01) (523BY) Lowell,"3,957",14.52,"3,744",0.95
(V01) (523BZ) Causeway,"5,341",12.18,"5,201",0.97
(V01) (523GA) Framingham,427,7.06,400,0.94
(V01) (523GC) Quincy,182,9.32,172,0.95
(V01) (523GD) Plymouth,353,8.26,343,0.97
(V01) (523MA) IDES Hanscom AFB,10,,10,1.00
"(V01) (608) Manchester, NH","25,424",5.75,"24,384",0.96
(V01) (608) Manchester VAMC,"22,863",4.92,"21,961",0.96
(V01) (608GA) Portsmouth,563,5.42,549,0.98
(V01) (608GC) Somersworth,"1,198",12.3,"1,086",0.91
(V01) (608GD) Conway,286,6.3,283,0.99
(V01) (608HA) Tilton,510,4.68,501,0.98
(V01) (608MA) IDES Manchester VAMC,4,,4,1.00
"(V01) (631) VA Central Western Massachusetts
HCS","28,207",7.88,"26,256",0.93
(V01) (631) Edward P Boland VAMC,"12,550",12.67,"11,363",0.91
(V01) (631BY) Springfield,"4,499",8.46,"4,296",0.95
(V01) (631GC) Pittsfield,860,10.92,808,0.94
"(V01) (631GD) Greenfield (Franklin
County)",875,3.62,861,0.98
(V01) (631GE) Worcester,"6,469",4.45,"6,124",0.95
(V01) (631GF) Fitchburg,581,5.27,563,0.97
"(V01) (631MA) IDES Keller Army
Community Hospital",6,,6,1.00
(V01) (631PA) 631PA,2,,2,1.00
(V01) (631QA) Plantation Street,"2,365",,"2,233",0.94
"(V01) (650) Providence, RI","55,615",7,"53,872",0.97
(V01) (650) Providence VAMC,"45,778",8.88,"44,370",0.97
"(V01) (650GA) New Bedford Primary Care
Ctr.","4,579",4.39,"4,368",0.95
(V01) (650GB) Hyannis,"4,249",7,"4,150",0.98
(V01) (650GD) Middletown,"1,009",4.88,984,0.98
"(V01) (689) VA Connecticut HCS, CT","55,207",1.96,"53,335",0.97
(V01) (689) West Haven VAMC,"29,271",2.04,"28,249",0.97
(V01) (689A4) Newington VAMC,"22,348",2.3,"21,530",0.96
(V01) (689GA) Waterbury,529,0.62,526,0.99
(V01) (689GB) Stamford,438,0.2,436,1.00
(V01) (689GC) Willimantic,419,0.94,417,1.00
(V01) (689GD) Winsted,403,0.78,398,0.99
(V01) (689GE) Danbury,377,1.46,373,0.99
"(V01) (689HC) New London VA Primary
Care Center","1,422",2.01,"1,406",0.99
"(V02) (528) Albany, NY","41,366",5.72,"38,275",0.93
(V02) (528A8) Samuel S Stratton VAMC,"32,857",8.22,"30,040",0.91
(V02) (528G2) Westport,402,7.11,390,0.97
(V02) (528G3) Bainbridge,998,3.57,972,0.97
(V02) (528G6) Fonda,388,1.59,378,0.97
(V02) (528G7) Catskill,972,3.98,955,0.98
(V02) (528GT) Glens Falls,920,0.9,918,1.00
(V02) (528GV) Plattsburgh,"1,509",2.95,"1,502",1.00
(V02) (528GW) Schenectady,625,1.14,616,0.99
(V02) (528GX) Troy,848,2.84,839,0.99
(V02) (528GY) Clifton Park,937,15.15,761,0.81
(V02) (528GZ) Kingston,910,0.56,904,0.99
