"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
"(V01) (402) Togus, ME","28,683","28,299",98.66%,384,1.34%,"25,403","1,570","1,326",357,25,2,0,4.96,2.73,1.87
(V01) (402) Togus VAMC,"17,464","17,179",98.37%,285,1.63%,"15,582",910,687,264,19,2,0,5.96,2.66,2.59
"(V01) (402GA) Aroostook County
(Caribou)",756,724,95.77%,32,4.23%,569,69,86,31,1,0,0,8.84,0,3.41
(V01) (402GB) Calais,379,379,100.00%,0,0.00%,365,12,2,0,0,0,0,1.43,0,0.36
(V01) (402GC) Rumford,428,428,100.00%,0,0.00%,411,8,9,0,0,0,0,1.31,0,1.11
(V01) (402GD) Saco,"1,284","1,277",99.45%,7,0.55%,"1,123",87,67,6,1,0,0,4.61,0,2.08
(V01) (402GE) Lewiston,"1,985","1,968",99.14%,17,0.86%,"1,659",190,119,13,4,0,0,4.71,3.63,3.2
(V01) (402GF) Lincoln,328,328,100.00%,0,0.00%,276,28,24,0,0,0,0,4.7,0,0.09
(V01) (402HB) Bangor,"4,103","4,081",99.46%,22,0.54%,"3,697",169,215,22,0,0,0,3.26,3,0.67
"(V01) (402HC) Portland Outreach
Clinic-CDRP Satellite South","1,858","1,840",99.03%,18,0.97%,"1,647",87,106,18,0,0,0,5.57,2.11,0.61
"(V01) (402HL) Bingham VA Mobile
Clinic",67,67,100.00%,0,0.00%,53,7,7,0,0,0,0,4.8,,
(V01) (402QB) Houlton,31,28,90.32%,3,9.68%,21,3,4,3,0,0,0,8.48,,
"(V01) (405) White River Junction, VT","21,581","21,198",98.23%,383,1.77%,"18,824","1,233","1,141",349,34,0,0,3.62,4.08,1.32
(V01) (405) White River Jct VAMC,"15,967","15,651",98.02%,316,1.98%,"13,930",858,863,293,23,0,0,3.53,4.26,1.38
(V01) (405GA) Bennington,736,736,100.00%,0,0.00%,675,46,15,0,0,0,0,2.57,0.27,1.72
(V01) (405GC) Brattleboro,437,434,99.31%,3,0.69%,383,31,20,3,0,0,0,4.06,1.72,0.05
(V01) (405HA) Burlington Lakeside,"2,430","2,390",98.35%,40,1.65%,"2,083",172,135,29,11,0,0,4.37,4.68,0.4
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",965,963,99.79%,2,0.21%,909,28,26,2,0,0,0,1.66,1.4,0.98
(V01) (405HE) KEENE (ORC),300,292,97.33%,8,2.67%,246,17,29,8,0,0,0,7.19,0,2.04
(V01) (405HF) Rutland,746,732,98.12%,14,1.88%,598,81,53,14,0,0,0,4.17,0.44,3.16
"(V01) (518) Bedford, MA","13,170","13,018",98.85%,152,1.15%,"12,063",559,396,111,26,13,2,0.43,6.01,0.76
"(V01) (518) Edith Nourse Rogers
VAMC","11,588","11,440",98.72%,148,1.28%,"10,539",517,384,107,26,13,2,0.47,6.05,0.53
(V01) (518GA) Lynn,645,644,99.84%,1,0.16%,630,11,3,1,0,0,0,0.19,0,1.66
(V01) (518GB) Haverhill,676,673,99.56%,3,0.44%,634,30,9,3,0,0,0,0.59,6.76,3.98
(V01) (518GE) Gloucester,261,261,100.00%,0,0.00%,260,1,0,0,0,0,0,0.34,0,0
"(V01) (523) VA Boston HCS, MA","46,306","45,052",97.29%,"1,254",2.71%,"39,214","2,834","3,004","1,068",144,34,8,7.47,5.75,2.17
