Location_2014,Appts_2014,Appts_Complete_Over_30_Days_%_2014,PC_Wait_2014,SC_Wait_2014,MH_Wait_2014
"(V01) (402) Togus, ME",24458,0.0167,2.72,3.34,1.43
"(V01) (405) White River Junction, VT",19232,0.0158,2.24,3.22,0.84
"(V01) (518) Bedford, MA",11976,0.0159,0.88,5.3,3.67
"(V01) (523) VA Boston HCS, MA",45669,0.0105,1.16,3.17,2.63
"(V01) (608) Manchester, NH",17616,0.0163,2.49,3.65,3.01
"(V01) (650) Providence, RI",28521,0.0142,2.35,3.65,4.05
"(V01) (689) VA Connecticut HCS, CT",48622,0.0150,1.34,3.42,2.99
"(V02) (528) Albany, NY",24865,0.0088,1.28,1.86,3.02
"(V02) (528) Bath, NY",13553,0.0185,3.05,5.33,0.13
"(V02) (528) Western New York, NY",37616,0.0236,3.26,3.52,3.91
"(V02) (528) Canandaigua, NY",13449,0.0198,3.65,3.71,1.61
"(V03) (526) Bronx, NY",25650,0.0053,1.5,1.88,1.09
"(V03) (561) New Jersey HCS, NJ",43772,0.0318,1.25,6.03,2.2
"(V03) (620) VA Hudson Valley HCS, NY",26650,0.0090,1.94,2.68,1.29
"(V03) (630) New York Harbor HCS, NY",50405,0.0056,1.57,1.69,1.02
"(V04) (460) Wilmington, DE",16891,0.0457,6.04,6.07,2.98
"(V04) (503) Altoona, PA",14938,0.0205,3.42,5.63,1.94
"(V04) (529) Butler, PA",8692,0.0010,0.26,0.41,0.47
"(V04) (540) Clarksburg, WV",17926,0.0644,7.64,7.51,3.41
"(V04) (542) Coatesville, PA",15159,0.0027,1.87,1.69,0.91
"(V04) (562) Erie, PA",14712,0.0173,3.65,2.76,0.51
"(V04) (646) Pittsburgh, PA",35530,0.0204,4.02,3.37,0.99
"(V04) (693) Wilkes-Barre, PA",25811,0.0074,1.76,1.11,0.77
"(V05) (512) Baltimore HCS, MD",45027,0.0224,5.18,3.82,1.67
"(V05) (613) Martinsburg, WV",38474,0.0097,3.32,2.93,2.02
"(V05) (688) Washington, DC",47696,0.0212,4.82,3.77,3.51
"(V06) (517) Beckley, WV",11155,0.0260,2.48,5.97,2.78
"(V06) (558) Durham, NC",43961,0.0538,8.31,6.58,1.66
"(V06) (565) Fayetteville, NC",36397,0.0837,14.84,8.45,3.38
"(V06) (590) Hampton, VA",30057,0.0887,16.58,7.63,7.76
"(V06) (637) Asheville, NC",27417,0.0230,3.79,3.92,2.48
"(V06) (652) Richmond, VA",42291,0.0234,5.83,2.58,3.69
"(V06) (658) Salem, VA",30958,0.0201,2.78,4.64,0.62
"(V06) (659) Salisbury, NC",56618,0.0309,3.24,4.91,5.75
"(V07) (508) Atlanta, GA",73227,0.0497,10.03,5.11,1.45
"(V07) (509) Augusta, GA",25860,0.0148,3.61,3.83,0.79
"(V07) (21) Birmingham, AL",48878,0.0144,1.59,3.99,1.37
"(V07) (534) Charleston, SC",49040,0.0114,2.22,3.02,0.97
"(V07) (44) Columbia, SC",50490,0.0463,7,7.47,3.79
"(V07) (557) Dublin, GA",18733,0.0575,7.61,13.63,3.57
"(V07) (619) Central Alabama Veterans HCS, AL",29482,0.0934,9.56,10.1,8.77
"(V07) (79) Tuscaloosa, AL",10196,0.0031,2.29,0.14,1.03
