Location_2016,Appts_2016,Appts_Complete_Over_30_Days_%_2016,PC_Wait_2016,SC_Wait_2016,MH_Wait_2016
"(V01) (402) Togus, ME",28683,0.0134,4.96,2.73,1.87
(V01) (402) Togus VAMC,17464,0.0163,5.96,2.66,2.59
"(V01) (402GA) Aroostook County
(Caribou)",756,0.0423,8.84,0,3.41
(V01) (402GB) Calais,379,0.0000,1.43,0,0.36
(V01) (402GC) Rumford,428,0.0000,1.31,0,1.11
(V01) (402GD) Saco,1284,0.0055,4.61,0,2.08
(V01) (402GE) Lewiston,1985,0.0086,4.71,3.63,3.2
(V01) (402GF) Lincoln,328,0.0000,4.7,0,0.09
(V01) (402HB) Bangor,4103,0.0054,3.26,3,0.67
"(V01) (402HC) Portland Outreach
Clinic-CDRP Satellite South",1858,0.0097,5.57,2.11,0.61
"(V01) (402HL) Bingham VA Mobile
Clinic",67,0.0000,4.8,,
(V01) (402QB) Houlton,31,0.0968,8.48,,
"(V01) (405) White River Junction, VT",21581,0.0177,3.62,4.08,1.32
(V01) (405) White River Jct VAMC,15967,0.0198,3.53,4.26,1.38
(V01) (405GA) Bennington,736,0.0000,2.57,0.27,1.72
(V01) (405GC) Brattleboro,437,0.0069,4.06,1.72,0.05
(V01) (405HA) Burlington Lakeside,2430,0.0165,4.37,4.68,0.4
"(V01) (405HC) VICC - St. Johnsbury -
Littleton",965,0.0021,1.66,1.4,0.98
(V01) (405HE) KEENE (ORC),300,0.0267,7.19,0,2.04
(V01) (405HF) Rutland,746,0.0188,4.17,0.44,3.16
"(V01) (518) Bedford, MA",13170,0.0115,0.43,6.01,0.76
"(V01) (518) Edith Nourse Rogers
VAMC",11588,0.0128,0.47,6.05,0.53
(V01) (518GA) Lynn,645,0.0016,0.19,0,1.66
(V01) (518GB) Haverhill,676,0.0044,0.59,6.76,3.98
(V01) (518GE) Gloucester,261,0.0000,0.34,0,0
"(V01) (523) VA Boston HCS, MA",46306,0.0271,7.47,5.75,2.17
(V01) (523) Jamaica Plain VAMC,19960,0.0255,7.76,5.66,1.5
(V01) (523A4) West Roxbury VAMC,7863,0.0271,10.24,4.82,0
(V01) (523A5) Brockton VAMC,11812,0.0331,7.02,7.47,2.11
(V01) (523BY) Lowell,1595,0.0433,8.25,5,7.27
(V01) (523BZ) Causeway,4206,0.0062,3.58,2.64,1.64
(V01) (523GA) Framingham,369,0.0352,4.57,0,9.44
(V01) (523GC) Quincy,252,0.1230,9.91,,
(V01) (523GD) Plymouth,223,0.0090,5.62,1.12,
(V01) (523MA) IDES Hanscom AFB,26,0.0000,,0,0
"(V01) (608) Manchester, NH",18849,0.0160,4.99,2.93,2.94
(V01) (608) Manchester VAMC,17104,0.0145,4.27,2.94,2.37
(V01) (608GA) Portsmouth,388,0.0284,7.92,2.63,5.19
(V01) (608GC) Somersworth,692,0.0549,9.51,1.63,6.86
(V01) (608GD) Conway,192,0.0052,3.47,0,6.68
(V01) (608HA) Tilton,469,0.0064,3.66,2.33,1.51
"(V01) (608MA) IDES Manchester
VAMC",4,0.0000,,0,
,19521,0.0322,5.56,5.98,4
(V01) (631) Edward P Boland VAMC,8253,0.0460,8.52,7.22,4.11
(V01) (631BY) Springfield,4447,0.0180,5.19,2.87,3.42
