"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"(V01) (402) Togus, ME","24,458","24,050",98.33%,408,1.67%,,"23,433",617,327,57,16,8,,2.72,3.34,1.43,
"",(V01) (402) Togus,"14,849","14,697",98.98%,152,1.02%,,"14,314",383,103,32,9,8,,2.22,2.95,1.37
"",(V01) (402GA) Aroostook County (Caribou),671,644,95.98%,27,4.02%,,615,29,22,4,1,0,,5.69,2.20,0.72
"",(V01) (402GB) Calais,316,316,100.00%,0,0.00%,,315,1,0,0,0,0,,0.56,0.00,0.06
"",(V01) (402GC) Rumford,489,487,99.59%,2,0.41%,,480,7,2,0,0,0,,1.37,0.00,1.90
"",(V01) (402GD) Saco,"1,326","1,292",97.44%,34,2.56%,,"1,231",61,22,7,5,0,,4.57,4.34,5.05
"",(V01) (402GE) Lewiston Auburn,"1,309","1,309",100.00%,0,0.00%,,"1,293",16,0,0,0,0,,1.78,0.17,0.46
"",(V01) (402HB) Bangor,"3,936","3,759",95.50%,177,4.50%,,"3,662",97,169,8,0,0,,2.79,5.71,0.80
"","(V01) (402HC) Portland Outreach Clinic-CDRP SatelliteSouth","1,496","1,480",98.93%,16,1.07%,,"1,458",22,9,6,1,0,,3.04,1.91,1.23
"",(V01) (402HL) R&C Healthcare MOC,66,66,100.00%,0,0.00%,,65,1,0,0,0,0,,1.65,,
"(V01) (405) White River Junction, VT","19,232","18,929",98.42%,303,1.58%,,"18,419",510,250,40,9,4,,2.24,3.22,0.84,
"",(V01) (405) White River Jct,"14,250","14,002",98.26%,248,1.74%,,"13,584",418,198,38,9,3,,2.78,3.31,0.72
"",(V01) (405GA) Bennington,917,917,100.00%,0,0.00%,,908,9,0,0,0,0,,0.43,0.28,2.76
"",(V01) (405GC) Brattleboro,338,335,99.11%,3,0.89%,,331,4,3,0,0,0,,0.94,1.43,0.95
"",(V01) (405HA) Burlington Lakeside,"2,378","2,336",98.23%,42,1.77%,,"2,272",64,41,1,0,0,,2.94,2.85,0.39
"",(V01) (405HC) VICC - St. Johnsbury - Littleton,522,518,99.23%,4,0.77%,,510,8,3,0,0,1,,1.82,0.20,0.51
"",(V01) (405HE) KEENE (ORC),326,326,100.00%,0,0.00%,,325,1,0,0,0,0,,0.82,0.32,0.39
"",(V01) (405HF) Rutland,501,495,98.80%,6,1.20%,,489,6,5,1,0,0,,1.15,7.87,0.31
"(V01) (","18) Bedford, MA","11,976","11,786",98.41%,190,1.59%,,"11,357",429,166,18,6,0,,0.88,5.30,3.67
"",(V01) (518) Bedford,"9,938","9,770",98.31%,168,1.69%,,"9,391",379,146,17,5,0,,1.08,5.33,3.12
"",(V01) (518GA) Lynns/North Shore,611,591,96.73%,20,3.27%,,546,45,18,1,1,0,,0.65,2.17,14.72
"",(V01) (518GB) Haverhill,745,743,99.73%,2,0.27%,,741,2,2,0,0,0,,0.40,2.05,1.70
"",(V01) (518GD) Lowell,356,356,100.00%,0,0.00%,,356,0,0,0,0,0,,,,
"",(V01) (518GE) Gloucester,325,325,100.00%,0,0.00%,,322,3,0,0,0,0,,0.75,,3.14
"",(V01) (518MA) IDES Hanscom AFB,1,1,100.00%,0,0.00%,,1,0,0,0,0,0,,,,
"(V01) (523) VA Boston HCS, MA","45,669","45,188",98.95%,481,1.05%,,"43,900","1,288",379,77,16,9,,1.16,3.17,2.63,
"",(V01) (523) VA Boston HCS- Boston Div.,"20,098","19,878",98.91%,220,1.09%,,"19,116",762,178,31,5,6,,1.16,3.37,2.54
"",(V01) (523A4) VA Boston HCS-West Roxbury Div.,"7,116","7,033",98.83%,83,1.17%,,"6,896",137,53,26,1,3,,0.86,1.96,2.17
"",(V01) (523A5) Brockton VAMC,"11,158","11,040",98.94%,118,1.06%,,"10,747",293,99,9,10,0,,0.94,3.83,2.68
"",(V01) (523BY) Lowell,"1,840","1,814",98.59%,26,1.41%,,"1,771",43,18,8,0,0,,1.49,2.66,5.72
"",(V01) (523BZ) Causeway Clinic (Boston),"4,449","4,435",99.69%,14,0.31%,,"4,399",36,14,0,0,0,,0.57,1.12,1.91
"",(V01) (523GA) Framingham VA Primary Care Unit,459,458,99.78%,1,0.22%,,458,0,1,0,0,0,,0.19,,0.00
"",(V01) (523GC) Quincy,291,291,100.00%,0,0.00%,,286,5,0,0,0,0,,0.59,,
"",(V01) (523GD) Plymouth,248,229,92.34%,19,7.66%,,217,12,16,3,0,0,,6.90,2.00,
"",(V01) (523MA) IDES Hanscom AFB,10,10,100.00%,0,0.00%,,10,0,0,0,0,0,,,,
"(V01) (","08) Manchester, NH","17,616","17,329",98.37%,287,1.63%,,"16,714",615,246,39,2,0,,2.49,3.65,3.01
"",(V01) (608) Manchester,"15,807","15,565",98.47%,242,1.53%,,"15,029",536,205,35,2,0,,1.97,3.67,2.47
"(V01) (608GA) Portsmouth",505,470,93.07%,35,6.93%,,447,23,31,4,0,0,,6.16,4.17,5.53,
"(V01) (608GC) Somersworth",632,626,99.05%,6,0.95%,,598,28,6,0,0,0,,2.71,1.14,5.07,
"(V01) (608GD) Conway",299,299,100.00%,0,0.00%,,282,17,0,0,0,0,,3.00,5.00,2.92,
"(V01) (608HA) Tilton",364,360,98.90%,4,1.10%,,349,11,4,0,0,0,,2.21,3.18,8.08,
"(V01) (608MA) IDES Manchester VAMC",9,9,100.00%,0,0.00%,,9,0,0,0,0,0,,,,,
"(V01) (631) VA Central Western Massachusetts HCS","19,536","18,560",95.00%,976,5.00%,,"17,657",903,614,277,73,12,,6.31,7.80,2.91,
"(V01) (631) VA Central Western Massachusetts HCS","8,926","8,464",94.82%,462,5.18%,,"8,020",444,343,105,12,2,,5.36,7.39,2.84,
"(V01) (631BY) Springfield","4,479","4,288",95.74%,191,4.26%,,"4,138",150,106,75,9,1,,6.82,3.67,3.22,
"(V01) (631GC) Pittsfield",615,597,97.07%,18,2.93%,,575,22,14,4,0,0,,6.28,0.88,1.92,
"(V01) (631GD) Greenfield (Franklin County)",670,657,98.06%,13,1.94%,,632,25,11,2,0,0,,2.18,4.58,3.81,
"(V01) (631GE) Worcester","4,051","3,776",93.21%,275,6.79%,,"3,577",199,124,90,52,9,,7.47,11.72,2.71,
